Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2010-09-21
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;25,9;67,2;
2010-01-02;25,7;61;
2010-01-03;26,6;61,8;
2010-01-04;25,8;68,2;
2010-01-05;26;68,7;
2010-01-06;26,1;69,4;
2010-01-07;26,5;63;
2010-01-08;27,3;65,5;
2010-01-09;27,7;63,1;
2010-01-10;27;61,8;
2010-01-11;27,4;60,7;
2010-01-12;27,6;62,5;
2010-01-13;27,4;62,2;
2010-01-14;28,1;61,5;
2010-01-15;25,1;75,7;
2010-01-16;25,8;72;
2010-01-17;26,7;62,3;
2010-01-18;26,4;59,6;
2010-01-19;27,8;58,5;
2010-01-20;27,7;60;
2010-01-21;27,8;59,4;
2010-01-22;27;65;
2010-01-23;27;62,7;
2010-01-24;25,9;67,9;
2010-01-25;27;64,7;
2010-01-26;27,6;59,8;
2010-01-27;27,4;58,7;
2010-01-28;26,6;58;
2010-01-29;26,5;60,1;
2010-01-30;27,2;61,1;
2010-01-31;27,1;61,8;
2010-02-01;27,2;60,3;
2010-02-02;28;56;
2010-02-03;27,2;58,8;
2010-02-04;26,2;64,7;
2010-02-05;25,6;67,7;
2010-02-06;25,2;65,8;
2010-02-07;26,6;60,3;
2010-02-08;27,1;63,2;
2010-02-09;27,5;59,3;
2010-02-10;26,3;68;
2010-02-11;25,9;67,5;
2010-02-12;26,4;64,2;
2010-02-13;26,6;61,9;
2010-02-14;27,2;60,3;
2010-02-15;26,9;64,7;
2010-02-16;28,4;57,6;
2010-02-17;28,7;58,8;
2010-02-18;25,8;69,6;
2010-02-19;26,7;64,3;
2010-02-20;25,5;72,4;
2010-02-21;26,5;66;
2010-02-22;27,5;60;
2010-02-23;28,2;56;
2010-02-24;30;48,1;
2010-02-25;27,7;61,1;
2010-02-26;22,4;87,6;
2010-02-27;22,4;78,3;
2010-02-28;23,7;74,9;
2010-03-01;22,4;83;
2010-03-02;21;83,6;
2010-03-03;22,5;82,9;
2010-03-04;23,4;84,3;
2010-03-05;23,4;78,9;
2010-03-06;23,7;79;
2010-03-07;25,2;78,4;
2010-03-08;27,8;66;
2010-03-09;26,9;68,9;
2010-03-10;26,5;71,3;
2010-03-11;27,5;64,8;
2010-03-12;26,7;70,1;
2010-03-13;25,9;71,9;
2010-03-14;28,4;62,3;
2010-03-15;26;72,9;
2010-03-16;23,6;79,6;
2010-03-17;22,4;82,4;
2010-03-18;23,9;80;
2010-03-19;24,4;72,5;
2010-03-20;24,9;70,2;
2010-03-21;25,1;72,6;
2010-03-22;26,4;68;
2010-03-23;25,2;73,3;
2010-03-24;26;68,8;
2010-03-25;25,8;66,9;
2010-03-26;23,5;80,8;
2010-03-27;24,1;78,1;
2010-03-28;25,8;67,8;
2010-03-29;26,1;66,7;
2010-03-30;25,7;71,8;
2010-03-31;24,3;80,6;
2010-04-01;22,7;87;
2010-04-02;22,9;82,7;
2010-04-03;23,6;82,3;
2010-04-04;24,7;77,3;
2010-04-05;23,8;84,3;
2010-04-06;23,8;80,7;
2010-04-07;20,8;72,6;
2010-04-08;18,8;71,8;
2010-04-09;19,3;73,8;
2010-04-10;19,2;72;
2010-04-11;20,1;73,1;
2010-04-12;19,8;76,6;
2010-04-13;21,5;72,1;
2010-04-14;20,9;74,9;
2010-04-15;22,8;72,5;
2010-04-16;22,5;75,5;
2010-04-17;24,6;71,8;
2010-04-18;24;74,4;
2010-04-19;23,6;73,3;
2010-04-20;22,4;76,8;
2010-04-21;23,2;67,4;
2010-04-22;24;64,2;
2010-04-23;25,5;61;
2010-04-24;24,7;71,4;
2010-04-25;25;68,5;
2010-04-26;24,3;67,9;
2010-04-27;26;63;
2010-04-28;23,4;76;
2010-04-29;22,3;76,2;
2010-04-30;20,6;81,4;
2010-05-01;21,2;78,6;
2010-05-02;21,8;72,8;
2010-05-03;21,4;71,6;
2010-05-04;21;67,6;
2010-05-05;21,6;65,5;
2010-05-06;22,1;62,5;
2010-05-07;22,5;66,3;
2010-05-08;22,9;67;
2010-05-09;22,1;73,4;
2010-05-10;18,5;87,2;
2010-05-11;18,5;83,2;
2010-05-12;21,1;75,5;
2010-05-13;20,4;78;
2010-05-14;18,1;73,4;
2010-05-15;18,5;74,8;
2010-05-16;19,9;75,6;
2010-05-17;20,3;74,7;
2010-05-18;19,9;77,9;
2010-05-19;21,4;74,1;
2010-05-20;22,6;71,6;
2010-05-21;19,6;84,5;
2010-05-22;20,7;81,8;
2010-05-23;21,9;77,3;
2010-05-24;21,9;77,4;
2010-05-25;21,9;79,3;
2010-05-26;21,5;78,5;
2010-05-27;19,9;85,7;
2010-05-28;18,9;83,8;
2010-05-29;18,3;82,5;
2010-05-30;20,5;73;
2010-05-31;22,8;65,5;
2010-06-01;18,4;78,2;
2010-06-02;17,4;82,9;
2010-06-03;18,6;79,1;
2010-06-04;18,3;77,3;
2010-06-05;19;70,7;
2010-06-06;18,8;74,9;
2010-06-07;16,1;73,6;
2010-06-08;17;72,2;
2010-06-09;18,2;74;
2010-06-10;18,4;73;
2010-06-11;18,5;76;
2010-06-12;16,9;75,3;
2010-06-13;14;77;
2010-06-14;16,6;69,4;
2010-06-15;16,2;69,9;
2010-06-16;17,8;67,5;
2010-06-17;20,4;61,8;
2010-06-18;19,3;64,9;
2010-06-19;19,4;66,8;
2010-06-20;21,2;55,6;
2010-06-21;21;57,6;
2010-06-22;19,4;69,7;
2010-06-23;19,5;79,3;
2010-06-24;20;72;
2010-06-25;18,6;72,1;
2010-06-26;18,4;69,7;
2010-06-27;18,1;72,8;
2010-06-28;19,3;68,2;
2010-06-29;17,8;68,2;
2010-06-30;16,6;68,9;
2010-07-01;17,7;66,3;
2010-07-02;18,7;70,8;
2010-07-03;18,2;78,3;
2010-07-04;18,3;79;
2010-07-05;17,9;82,8;
2010-07-06;19,1;69,2;
2010-07-07;18,3;62,2;
2010-07-08;19,5;63,3;
2010-07-09;21,2;65,3;
2010-07-10;19,8;81,5;
2010-07-11;21,1;78,8;
2010-07-12;20,4;74,7;
2010-07-13;21,9;64,2;
2010-07-14;22,1;69,4;
2010-07-15;22,1;75,5;
2010-07-16;20,8;80;
2010-07-17;21;72,4;
2010-07-18;18,4;83,1;
2010-07-19;17,9;77,4;
2010-07-20;18,4;74,5;
2010-07-21;19;72,5;
2010-07-22;19,3;68,6;
2010-07-23;22,3;59;
2010-07-24;20;67,2;
2010-07-25;19,5;71,3;
2010-07-26;19,1;62,4;
2010-07-27;19;67;
2010-07-28;20,8;68,6;
2010-07-29;20,1;68,3;
2010-07-30;22,6;54,7;
2010-07-31;20,6;57,7;
2010-08-01;20,5;55,9;
2010-08-02;19,9;62,1;
2010-08-03;null;79,5;
2010-08-04;19,2;72,4;
2010-08-05;19,9;68,7;
2010-08-06;20,2;69,6;
2010-08-07;18,8;71,5;
2010-08-08;19,1;70;
2010-08-09;22,1;58,8;
2010-08-10;19,9;70,3;
2010-08-11;19;66,1;
2010-08-12;19,4;60,2;
2010-08-13;19,5;58;
2010-08-14;22,4;51,8;
