Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;24;77,9;
2010-01-02;24,8;64,5;
2010-01-03;25,8;63,6;
2010-01-04;26,3;63,9;
2010-01-05;25,8;68,2;
2010-01-06;24,7;73,5;
2010-01-07;22,9;81,9;
2010-01-08;23,9;76,5;
2010-01-09;25,9;66,2;
2010-01-10;25,5;64;
2010-01-11;25,9;65;
2010-01-12;26,6;61,8;
2010-01-13;26;66,1;
2010-01-14;27;64,9;
2010-01-15;25,7;70,9;
2010-01-16;24,8;71,9;
2010-01-17;25,5;61;
2010-01-18;25,4;60,8;
2010-01-19;26,6;62,8;
2010-01-20;26,7;59,2;
2010-01-21;27;62,2;
2010-01-22;26,7;64;
2010-01-23;25,7;64,1;
2010-01-24;26,5;62,8;
2010-01-25;26,3;60,4;
2010-01-26;25,8;60;
2010-01-27;26;59,9;
2010-01-28;25,9;57,6;
2010-01-29;25,9;59,8;
2010-01-30;26,6;62,7;
2010-01-31;26,5;59;
2010-02-01;26,2;60,5;
2010-02-02;26,2;61;
2010-02-03;26,7;59,5;
2010-02-04;26,7;59,2;
2010-02-05;24,9;66,8;
2010-02-06;25,2;65,4;
2010-02-07;26,1;62,9;
2010-02-08;27;58,8;
2010-02-09;26,4;61,3;
2010-02-10;25,7;65;
2010-02-11;24,4;71,7;
2010-02-12;25,1;69;
2010-02-13;25,9;60,9;
2010-02-14;26,7;58,6;
2010-02-15;26,9;58,8;
2010-02-16;27,5;58,6;
2010-02-17;28,6;55;
2010-02-18;28;57,7;
2010-02-19;25,9;65,9;
2010-02-20;26,7;63,8;
2010-02-21;26,6;61,7;
2010-02-22;26,8;61,6;
2010-02-23;28;49,5;
2010-02-24;28,9;48,1;
2010-02-25;28,6;55,4;
2010-02-26;23,1;84,4;
2010-02-27;23,7;77,6;
2010-02-28;24,4;74;
2010-03-01;23,4;84,8;
2010-03-02;22;87,3;
2010-03-03;22,2;90,2;
2010-03-04;23,4;84,3;
2010-03-05;23,3;82,6;
2010-03-06;23,7;78,2;
2010-03-07;25,1;78,2;
2010-03-08;26,2;72,1;
2010-03-09;24,8;79;
2010-03-10;26,4;73,2;
2010-03-11;25,5;77,3;
2010-03-12;26;72,8;
2010-03-13;26,1;72,4;
2010-03-14;24;80,9;
