Nome: SAO JOAO DEL REI
Codigo Estacao: A514
Latitude: -21.10638888
Longitude: -44.25083333
Altitude: 929.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;22,3;79,7;
2010-01-02;23,7;70,4;
2010-01-03;23,1;64;
2010-01-04;22,8;72,7;
2010-01-05;21,7;84,9;
2010-01-06;22;82,8;
2010-01-07;21,7;84,9;
2010-01-08;23,2;76,8;
2010-01-09;24,6;69,3;
2010-01-10;24,3;67,5;
2010-01-11;24,4;66,1;
2010-01-12;24,2;73,7;
2010-01-13;null;77,4;
2010-01-14;24;74,3;
2010-01-15;20,7;87;
2010-01-16;21;83,7;
2010-01-17;22,9;74;
2010-01-18;24;65;
2010-01-19;23,7;73,2;
2010-01-20;21,7;81,2;
2010-01-21;22,6;77,7;
2010-01-22;20,3;86,3;
2010-01-23;20,7;85;
2010-01-24;20,5;88;
2010-01-25;20,6;89,4;
2010-01-26;22;82,5;
2010-01-27;22,7;73,8;
2010-01-28;22,8;74,3;
2010-01-29;22,8;71,7;
2010-01-30;23,2;72,9;
2010-01-31;23,9;70,7;
2010-02-01;23,2;69,9;
2010-02-02;23,7;67;
2010-02-03;24,6;63,5;
2010-02-04;22,9;74,5;
2010-02-05;22,6;72,5;
2010-02-06;22;72,7;
2010-02-07;22,5;73;
2010-02-08;23,5;68,3;
2010-02-09;22,6;74,7;
2010-02-10;22,3;77;
2010-02-11;23,4;71,2;
2010-02-12;23,5;66,9;
2010-02-13;23,2;66,3;
2010-02-14;23,7;66,3;
2010-02-15;24,4;65,5;
2010-02-16;24,1;69,1;
2010-02-17;23,8;69,9;
2010-02-18;20,5;86,9;
2010-02-19;20,7;86,5;
2010-02-20;23;75,5;
2010-02-21;23,5;71,7;
2010-02-22;24,1;68,5;
2010-02-23;23,9;71,9;
2010-02-24;24,2;74,5;
2010-02-25;21,5;88,1;
