Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;25,3;80,8;
2010-01-02;25,7;75,6;
2010-01-03;27;67,4;
2010-01-04;27,2;66,3;
2010-01-05;27,1;69,2;
2010-01-06;26,9;69,4;
2010-01-07;25,6;75,9;
2010-01-08;24,9;82;
2010-01-09;25,7;73,9;
2010-01-10;26,2;72,9;
2010-01-11;24,8;80,3;
2010-01-12;25;78,6;
2010-01-13;23,9;79,5;
2010-01-14;24,4;79,7;
2010-01-15;24,3;80,7;
2010-01-16;24,2;83,2;
2010-01-17;24,7;79,5;
2010-01-18;25,5;77,9;
2010-01-19;27;69,8;
2010-01-20;27,6;63,5;
2010-01-21;25,3;74,4;
2010-01-22;23,8;82;
2010-01-23;23,8;79,3;
2010-01-24;24,6;75,2;
2010-01-25;24;82;
2010-01-26;24,2;80,5;
2010-01-27;23,2;86,4;
2010-01-28;24,3;79,5;
2010-01-29;23,5;85,8;
2010-01-30;24,1;86,2;
2010-01-31;25;83,4;
2010-02-01;26,3;70,9;
2010-02-02;27,5;62,6;
2010-02-03;28,3;58,5;
2010-02-04;27,9;58,1;
2010-02-05;27,1;67,8;
2010-02-06;26,4;69,9;
2010-02-07;25,7;67,8;
2010-02-08;25,2;70,3;
2010-02-09;24,6;76,6;
2010-02-10;25,1;76,5;
2010-02-11;23,7;84,3;
2010-02-12;25,3;78,6;
2010-02-13;26,1;69;
2010-02-14;25,4;75,1;
2010-02-15;25,2;77,5;
2010-02-16;25,5;77,7;
2010-02-17;24,6;81,6;
2010-02-18;25,1;79,4;
2010-02-19;25,9;73;
2010-02-20;24,2;76,4;
2010-02-21;24,8;73,1;
2010-02-22;25,1;75,6;
2010-02-23;26,8;69,7;
2010-02-24;26,8;73,8;
2010-02-25;25,3;80,2;
2010-02-26;24,8;84,6;
2010-02-27;25,7;81,6;
2010-02-28;25,6;82,4;
2010-03-01;24,5;84,3;
2010-03-02;24,9;84,3;
2010-03-03;24,8;84,3;
2010-03-04;24,3;84,5;
2010-03-05;25,9;77,9;
2010-03-06;25,9;73,3;
2010-03-07;24,8;60,6;
2010-03-08;24,4;58,4;
2010-03-09;26,4;64,9;
2010-03-10;26,4;60,6;
2010-03-11;26,4;58,1;
2010-03-12;27,4;64,2;
2010-03-13;27,4;65;
2010-03-14;26,9;67;
2010-03-15;26,3;71,1;
2010-03-16;23,8;82,7;
2010-03-17;23,8;77,4;
2010-03-18;25,8;70,7;
2010-03-19;26,9;63,2;
2010-03-20;26,9;63,6;
2010-03-21;25,8;71,1;
2010-03-22;24,8;81,3;
2010-03-23;24,2;83,7;
2010-03-24;25,9;76,4;
2010-03-25;26,1;73,4;
2010-03-26;24,4;80,4;
2010-03-27;24;80,9;
2010-03-28;24,8;76,5;
2010-03-29;25,2;75,9;
2010-03-30;23,8;82,3;
2010-03-31;24,7;84,2;
2010-04-01;24;89,6;
2010-04-02;22,9;88,5;
2010-04-03;23,3;90,1;
2010-04-04;23,1;86,6;
2010-04-05;24,1;84,1;
2010-04-06;20,3;86,8;
2010-04-07;17,8;77,4;
2010-04-08;19,1;68,3;
2010-04-09;19,3;67,9;
2010-04-10;20,6;63,8;
2010-04-11;21,2;58,3;
2010-04-12;21,4;57,5;
2010-04-13;21,9;58,8;
2010-04-14;22,4;57,8;
2010-04-15;22,7;59,3;
2010-04-16;23,2;61,5;
2010-04-17;24,2;59;
2010-04-18;25,1;57,6;
2010-04-19;25,5;60,9;
2010-04-20;26,1;63,4;
2010-04-21;25,5;60,7;
2010-04-22;26;60,8;
2010-04-23;26,5;61,5;
2010-04-24;26,7;64;
2010-04-25;26,7;60,6;
2010-04-26;25,6;57,4;
2010-04-27;25,8;62,9;
2010-04-28;25,6;66,3;
2010-04-29;25,7;62,2;
2010-04-30;24,2;66,1;
2010-05-01;23,6;62;
2010-05-02;21,5;56,3;
2010-05-03;23,2;56,7;
2010-05-04;23,9;62,1;
2010-05-05;24,3;64,3;
2010-05-06;24,7;61,3;
2010-05-07;25,1;58,5;
2010-05-08;24,7;62,3;
2010-05-09;20,5;86,4;
2010-05-10;19,5;77,9;
2010-05-11;18,6;65;
2010-05-12;16,3;61,6;
2010-05-13;14,6;57,1;
2010-05-14;17,7;56,3;
2010-05-15;20,8;52;
2010-05-16;22,2;50,3;
2010-05-17;23,9;51,9;
2010-05-18;21,8;64,2;
2010-05-19;18,6;85;
2010-05-20;16,7;73,6;
2010-05-21;17,1;66,2;
2010-05-22;18;65,7;
2010-05-23;19,8;61,5;
2010-05-24;20,8;57,5;
2010-05-25;22,9;62,3;
2010-05-26;23;63,2;
2010-05-27;21,5;64,3;
2010-05-28;20,7;61,3;
2010-05-29;21,9;59,4;
2010-05-30;22,9;54,5;
2010-05-31;19,3;66,7;
2010-06-01;17;64,8;
2010-06-02;16,8;74,8;
2010-06-03;20,5;78,5;
2010-06-04;22,1;70,3;
2010-06-05;19,8;82,6;
2010-06-06;15,7;72;
2010-06-07;16;61,9;
2010-06-08;18,8;53,7;
2010-06-09;20,3;47,2;
2010-06-10;20,8;55,9;
2010-06-11;20,7;65,6;
2010-06-12;18,3;63,3;
2010-06-13;18,7;62,8;
2010-06-14;20;60,2;
2010-06-15;20,4;56,1;
2010-06-16;20,2;53,9;
2010-06-17;20,5;51,2;
2010-06-18;21;46,6;
2010-06-19;22;43,2;
2010-06-20;21,9;44,8;
2010-06-21;22;48,8;
2010-06-22;22,5;50,4;
2010-06-23;22,7;54,7;
2010-06-24;23,2;49,6;
2010-06-25;22,9;48,4;
2010-06-26;21,8;51,3;
2010-06-27;20,9;47,3;
2010-06-28;20,4;49,5;
2010-06-29;20,5;50,2;
2010-06-30;20,9;51,9;
2010-07-01;20,5;50;
2010-07-02;20,7;48,1;
2010-07-03;21,9;51,5;
2010-07-04;21,9;48,4;
2010-07-05;21,3;46,9;
2010-07-06;21,2;48;
2010-07-07;21,7;48,6;
2010-07-08;21,4;42,3;
2010-07-09;22;46,8;
2010-07-10;22,7;46,6;
2010-07-11;22,7;46;
2010-07-12;23,1;51,5;
2010-07-13;22,5;65,7;
2010-07-14;17,5;77,9;
2010-07-15;19,7;75,7;
2010-07-16;22;70,4;
2010-07-17;21,9;62,3;
2010-07-18;22,9;50,6;
2010-07-19;22,8;50,4;
2010-07-20;22,6;53,2;
2010-07-21;23,3;47,3;
2010-07-22;23,9;45,2;
2010-07-23;24,5;44,8;
2010-07-24;23,6;40,3;
2010-07-25;21,7;40,3;
2010-07-26;21,1;42,2;
2010-07-27;22,5;38,5;
2010-07-28;23,5;40;
2010-07-29;24,7;40,3;
2010-07-30;22,5;44,7;
2010-07-31;23,4;40,8;
2010-08-01;23,6;39,8;
2010-08-02;23,8;39,5;
2010-08-03;null;47;
