Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;22,5;81,5;
2010-01-02;24,5;67,8;
2010-01-03;24,8;61,3;
2010-01-04;25,1;62,4;
2010-01-05;24,4;68,8;
2010-01-06;22,5;80,2;
2010-01-07;21,9;84,9;
2010-01-08;24,3;71,4;
2010-01-09;25,1;69,2;
2010-01-10;25,7;60,9;
2010-01-11;25,5;60,6;
2010-01-12;25,7;62,6;
2010-01-13;24;73,5;
2010-01-14;24,7;71,6;
2010-01-15;22,9;80,1;
2010-01-16;22,5;81,3;
2010-01-17;24;72,4;
2010-01-18;25,2;60;
2010-01-19;24,4;68,3;
2010-01-20;23,5;75;
2010-01-21;23;75,8;
2010-01-22;22,6;74,6;
2010-01-23;21,5;80,6;
2010-01-24;22,7;77,5;
2010-01-25;21,7;85,2;
2010-01-26;22,2;83,3;
2010-01-27;23,7;72,9;
2010-01-28;24,3;70,4;
2010-01-29;24,9;63,8;
2010-01-30;25,3;64,5;
2010-01-31;24,3;69,2;
2010-02-01;24,4;68,5;
2010-02-02;25,7;59,6;
2010-02-03;26,1;60,8;
2010-02-04;24,7;68,3;
2010-02-05;24,7;66,6;
2010-02-06;24,3;63,5;
2010-02-07;24,5;62,5;
2010-02-08;24;66,2;
2010-02-09;24,5;63,8;
2010-02-10;24,2;69,6;
2010-02-11;24,2;70,2;
2010-02-12;24,7;58,3;
2010-02-13;24,7;56,5;
2010-02-14;24,5;61,4;
2010-02-15;25,8;59,9;
2010-02-16;26,7;56,1;
2010-02-17;26,6;60,4;
2010-02-18;22;80,7;
2010-02-19;21,2;85,2;
2010-02-20;22,5;81,1;
2010-02-21;23,8;72,9;
2010-02-22;23,5;77;
2010-02-23;25,3;68,6;
2010-02-24;24,3;77;
2010-02-25;24,2;79,4;
2010-02-26;22;82,2;
2010-02-27;22,6;80,6;
2010-02-28;21,3;88,5;
2010-03-01;20,8;92,2;
2010-03-02;21,5;88,2;
2010-03-03;21,5;90,3;
2010-03-04;22,9;83,5;
2010-03-05;24;76,8;
2010-03-06;23,4;75,2;
2010-03-07;21,7;82;
2010-03-08;23,3;70,3;
2010-03-09;24,1;69,9;
2010-03-10;24,9;66,2;
2010-03-11;24,6;65,2;
2010-03-12;25,5;63,6;
2010-03-13;24,4;73,5;
2010-03-14;25;74,6;
2010-03-15;24,5;73,7;
2010-03-16;21,6;82,7;
2010-03-17;21,4;79,7;
2010-03-18;22,3;74,5;
2010-03-19;23,7;69,2;
2010-03-20;23,9;71,3;
2010-03-21;22,5;78,9;
2010-03-22;22,1;83,6;
2010-03-23;23,1;79,5;
2010-03-24;24,2;70,8;
2010-03-25;23,9;71,3;
2010-03-26;24,2;64,4;
2010-03-27;23,4;67,8;
2010-03-28;23,2;70,5;
2010-03-29;24,6;66,2;
2010-03-30;23,5;76,5;
2010-03-31;22,7;82,4;
2010-04-01;22,7;76,9;
2010-04-02;22,8;73,5;
2010-04-03;21,7;84,5;
2010-04-04;22,4;87;
2010-04-05;22,4;82,4;
2010-04-06;21,4;82;
2010-04-07;17,9;70;
2010-04-08;17;65,1;
2010-04-09;17;72,5;
2010-04-10;18,6;64;
2010-04-11;19,2;63;
2010-04-12;19,6;63,1;
2010-04-13;19,8;67,3;
2010-04-14;20,4;64,4;
2010-04-15;20,3;67,9;
2010-04-16;21;63,7;
2010-04-17;20,9;66,1;
2010-04-18;22,4;66,9;
2010-04-19;21,7;70,5;
2010-04-20;22,7;67,9;
2010-04-21;23,1;68,6;
2010-04-22;23,5;64,8;
2010-04-23;24,6;61,2;
2010-04-24;24,1;65,8;
2010-04-25;23,8;69,1;
2010-04-26;23;62,7;
2010-04-27;23,7;60,9;
2010-04-28;23,2;66,4;
2010-04-29;21,9;73,5;
2010-04-30;21,6;74,8;
2010-05-01;20,1;72,2;
2010-05-02;19,5;66,9;
2010-05-03;20,6;66,7;
2010-05-04;20,4;66,8;
2010-05-05;20,6;65,3;
2010-05-06;21,3;65,3;
2010-05-07;21,8;63,3;
2010-05-08;22,1;61,7;
2010-05-09;19,5;85,2;
2010-05-10;17,6;82,2;
2010-05-11;17,2;83,1;
2010-05-12;17,5;77,3;
2010-05-13;14;66,8;
2010-05-14;16,2;63,7;
2010-05-15;18,1;64,4;
2010-05-16;19,5;63,2;
2010-05-17;20,2;60,8;
2010-05-18;19,9;70;
2010-05-19;18,7;83,9;
2010-05-20;19;79,8;
2010-05-21;16,3;75,4;
2010-05-22;16,2;77,4;
2010-05-23;17,6;76,7;
2010-05-24;19,2;76,7;
2010-05-25;20,7;78,8;
2010-05-26;20,7;77,4;
2010-05-27;19,8;68;
2010-05-28;17,7;74,8;
2010-05-29;17,5;76;
2010-05-30;18,9;69,7;
2010-05-31;19,9;64,1;
