Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.91805554
Longitude: -46.38305554
Altitude: 1077.34
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;19,6;90,7;
2010-01-02;22,1;81,3;
2010-01-03;21,8;73,1;
2010-01-04;21,9;74,1;
2010-01-05;20,7;85,8;
2010-01-06;21;84,3;
2010-01-07;21;84,5;
2010-01-08;22,1;80,5;
2010-01-09;21,9;82,1;
2010-01-10;22,9;77,6;
2010-01-11;22,4;77,6;
2010-01-12;21,7;80,5;
2010-01-13;21,6;82;
2010-01-14;21,4;85,3;
2010-01-15;20,4;85,3;
2010-01-16;20,8;84,2;
2010-01-17;20,9;85,7;
2010-01-18;21,4;84,9;
2010-01-19;20,4;88,5;
2010-01-20;20,4;89,1;
2010-01-21;20,1;88,5;
2010-01-22;19,5;86,5;
2010-01-23;20,5;83;
2010-01-24;19,9;88,8;
2010-01-25;20;88,5;
2010-01-26;20,3;88;
2010-01-27;20,2;88,5;
2010-01-28;21,2;84,6;
2010-01-29;19,9;92,1;
2010-01-30;21,1;85,4;
2010-01-31;21,8;82,5;
2010-02-01;21,9;80,3;
2010-02-02;20,7;84,8;
2010-02-03;20,8;85,5;
2010-02-04;22,1;80,7;
2010-02-05;22,5;75,4;
2010-02-06;22,5;72,2;
2010-02-07;21,7;76,4;
2010-02-08;21;76;
2010-02-09;20,7;81,5;
2010-02-10;20,6;83,8;
2010-02-11;21,8;81,8;
2010-02-12;22;74,1;
2010-02-13;21,4;71;
2010-02-14;21,4;72,7;
2010-02-15;22,2;75,5;
2010-02-16;21,6;78,3;
2010-02-17;22;78,1;
2010-02-18;18,8;93,8;
2010-02-19;18,7;92,3;
2010-02-20;20,2;86,5;
2010-02-21;21,2;77,6;
2010-02-22;21;83,5;
2010-02-23;21,3;82,5;
2010-02-24;21,4;85,3;
2010-02-25;20,9;88,8;
2010-02-26;20;82,9;
2010-02-27;20,3;83,4;
2010-02-28;19,7;90;
2010-03-01;19,6;92,3;
2010-03-02;18,2;91,1;
2010-03-03;20;86,5;
2010-03-04;21,8;81,8;
2010-03-05;21,1;84,3;
2010-03-06;19;88,6;
2010-03-07;18,1;82,4;
2010-03-08;19,3;74,1;
2010-03-09;19,8;72,2;
2010-03-10;20,3;73,3;
2010-03-11;20,2;72,8;
2010-03-12;20,8;73,5;
2010-03-13;21,7;76,5;
2010-03-14;22,1;80;
2010-03-15;21,2;83,5;
2010-03-16;21,2;80,7;
2010-03-17;19,6;79,3;
2010-03-18;20,5;79;
2010-03-19;20,3;79,3;
2010-03-20;21,6;78,1;
2010-03-21;20;89;
2010-03-22;20,9;88;
2010-03-23;20,8;86,5;
2010-03-24;21,8;79,6;
2010-03-25;21,4;84,9;
2010-03-26;21,6;80,2;
2010-03-27;21,2;78,3;
2010-03-28;20,9;79,2;
2010-03-29;21,5;78,6;
2010-03-30;21,4;83;
2010-03-31;19,7;88,7;
2010-04-01;20,6;84,5;
2010-04-02;20,3;85,2;
2010-04-03;19,2;92,7;
2010-04-04;20,5;88,7;
2010-04-05;20,6;84,6;
2010-04-06;17,1;85,4;
2010-04-07;15,4;73,1;
2010-04-08;14,4;73,2;
2010-04-09;14,4;76,4;
