Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;19,4;85,8;
2010-01-02;20,4;73,6;
2010-01-03;20,4;73,5;
2010-01-04;20,8;73,5;
2010-01-05;21;73,6;
2010-01-06;20,6;75,6;
2010-01-07;18,7;86,8;
2010-01-08;20,3;77,9;
2010-01-09;21,2;73,5;
2010-01-10;20,8;71,8;
2010-01-11;21,4;71,5;
2010-01-12;22;70;
2010-01-13;null;73,4;
2010-01-14;21,9;71,8;
2010-01-15;21,6;76,9;
2010-01-16;20,9;75,3;
2010-01-17;20,3;70,2;
2010-01-18;21,2;65,3;
2010-01-19;21;72,9;
2010-01-20;22,4;67,1;
2010-01-21;21,8;70,6;
2010-01-22;20,9;76,9;
2010-01-23;19,8;83,1;
2010-01-24;19,9;80,2;
2010-01-25;20,6;75,2;
2010-01-26;20,2;73,7;
2010-01-27;20,4;69,4;
2010-01-28;20,4;75,5;
2010-01-29;20,3;71,7;
2010-01-30;21,3;72,2;
2010-01-31;20,7;74,6;
2010-02-01;20,7;70,5;
2010-02-02;21,3;71,4;
2010-02-03;21,9;67,4;
2010-02-04;21,7;67,7;
2010-02-05;20,8;72,5;
2010-02-06;19;74,9;
2010-02-07;19,5;73;
2010-02-08;19,7;78,3;
2010-02-09;20,5;74;
2010-02-10;20,2;80,3;
2010-02-11;19,8;79,2;
2010-02-12;19,8;72,3;
2010-02-13;20,9;65,5;
2010-02-14;20,5;72,1;
2010-02-15;21,3;69,3;
2010-02-16;21,9;67;
2010-02-17;23,6;60,2;
2010-02-18;23,8;60,4;
2010-02-19;22;66,3;
2010-02-20;21,4;70;
2010-02-21;21,6;67,5;
2010-02-22;21,2;71,7;
2010-02-23;21,5;67,3;
2010-02-24;23,2;57,9;
2010-02-25;23;62,6;
2010-02-26;19,4;89;
2010-02-27;20,1;85,3;
2010-02-28;20,2;83,9;
2010-03-01;19,8;88,9;
2010-03-02;20,1;88,7;
2010-03-03;19,1;95,3;
2010-03-04;19,6;91,2;
2010-03-05;19,9;89,2;
2010-03-06;19;90,9;
2010-03-07;20,3;85,6;
2010-03-08;21,6;78,3;
2010-03-09;22,1;72,9;
2010-03-10;22,1;79,1;
2010-03-11;21,7;77,6;
2010-03-12;21,9;74,1;
2010-03-13;22,1;70,8;
2010-03-14;22,1;72,7;
2010-03-15;21,7;73,2;
2010-03-16;21;73,7;
2010-03-17;19,8;75;
2010-03-18;19,3;82,8;
2010-03-19;18,9;81,7;
2010-03-20;19,6;80,1;
2010-03-21;20,8;72;
2010-03-22;18,6;92,4;
2010-03-23;20,1;86,8;
2010-03-24;19,7;84,8;
2010-03-25;20;76,4;
2010-03-26;19,5;77,4;
2010-03-27;19,9;78,3;
2010-03-28;20,4;76,6;
2010-03-29;20,9;75,1;
2010-03-30;20,8;78,2;
2010-03-31;20,7;84,2;
2010-04-01;18,3;92,6;
2010-04-02;18,8;89,5;
2010-04-03;19,2;88,7;
2010-04-04;19,6;88,2;
2010-04-05;20,5;86;
2010-04-06;20,3;86,1;
2010-04-07;18,1;77,8;
2010-04-08;16;70;
2010-04-09;15,6;70,7;
2010-04-10;15,4;76,9;
2010-04-11;15,6;71,1;
2010-04-12;15,9;77;
2010-04-13;15,6;84,8;
2010-04-14;15,7;87;
2010-04-15;17,3;77,2;
2010-04-16;17,4;84,8;
2010-04-17;18,9;86,1;
2010-04-18;18,8;86,3;
2010-04-19;18;86,8;
2010-04-20;17,9;83,1;
2010-04-21;18,8;71,6;
2010-04-22;20,1;72,3;
2010-04-23;21,2;65,7;
2010-04-24;21;68,6;
2010-04-25;19,2;75,4;
2010-04-26;19,4;74,6;
2010-04-27;20,3;72;
2010-04-28;20,9;69,2;
2010-04-29;19,3;77,8;
2010-04-30;17,6;85,8;
2010-05-01;18,6;81,6;
2010-05-02;17,6;82,5;
2010-05-03;16,4;81,8;
2010-05-04;17,2;75,8;
2010-05-05;17,8;69,3;
2010-05-06;19,4;68,7;
2010-05-07;19;75,6;
2010-05-08;19,3;75,8;
2010-05-09;20,3;71;
2010-05-10;16,2;95,8;
2010-05-11;14,8;97,4;
2010-05-12;16,4;95,7;
2010-05-13;18,4;73,6;
2010-05-14;18,3;67,5;
2010-05-15;18,1;81,2;
2010-05-16;18,8;71,9;
2010-05-17;18,7;70;
2010-05-18;16,8;79,3;
2010-05-19;16,6;84,9;
2010-05-20;17,2;89,2;
2010-05-21;18,5;80,3;
2010-05-22;17,9;82,8;
2010-05-23;17,7;87,5;
2010-05-24;18,1;84,6;
2010-05-25;18;85,4;
2010-05-26;18,6;79,3;
2010-05-27;16,9;81,4;
2010-05-28;14,9;90,3;
2010-05-29;15,2;84,3;
2010-05-30;15,4;85,5;
2010-05-31;17,4;79,4;
2010-06-01;15,6;86,6;
2010-06-02;13,5;94,4;
2010-06-03;13,7;95;
2010-06-04;13,5;89,4;
2010-06-05;14,4;88,5;
2010-06-06;15,8;70,1;
2010-06-07;14,9;69,6;
2010-06-08;15,9;90,2;
2010-06-09;14,7;82,9;
2010-06-10;14,1;76,2;
2010-06-11;15,4;74,8;
2010-06-12;13,8;83;
2010-06-13;11,5;79,6;
2010-06-14;11,9;74,8;
2010-06-15;13,1;76,5;
2010-06-16;14,3;75,2;
2010-06-17;17,1;59,3;
2010-06-18;17,2;53,3;
2010-06-19;14,9;69,2;
2010-06-20;17,5;54,9;
2010-06-21;19,5;47,1;
2010-06-22;19,5;52,6;
2010-06-23;16,7;70,9;
2010-06-24;15,4;86,8;
2010-06-25;15;86,5;
2010-06-26;13,4;78,7;
2010-06-27;13,8;75,7;
2010-06-28;14,4;75,9;
2010-06-29;14,2;77;
2010-06-30;13,9;73,9;
2010-07-01;13,4;72,2;
2010-07-02;13,8;79,2;
2010-07-03;14,3;76,8;
2010-07-04;14,3;78;
2010-07-05;14,5;86,1;
2010-07-06;14,8;72,9;
2010-07-07;14,2;70;
2010-07-08;15,8;72,6;
2010-07-09;16,3;77,5;
2010-07-10;15,8;81,8;
2010-07-11;16;82,7;
2010-07-12;16,6;76,1;
2010-07-13;16,5;76,9;
2010-07-14;17,6;74,7;
2010-07-15;16,9;78,4;
2010-07-16;16,4;76,8;
2010-07-17;16,1;68;
2010-07-18;15;84,3;
2010-07-19;14,6;85,2;
2010-07-20;14,8;76;
2010-07-21;14,4;76,4;
2010-07-22;null;76,1;
2010-07-23;16,1;73,3;
2010-07-24;14,6;73,5;
2010-07-25;14,4;77,8;
2010-07-26;14,9;77,2;
2010-07-27;14,4;77,8;
2010-07-28;14,8;80,9;
2010-07-29;14;84,8;
2010-07-30;14,8;75;
2010-07-31;15;70,6;
2010-08-01;16,3;65,4;
2010-08-02;15,9;60,7;
2010-08-03;15,3;66,3;
2010-08-04;14,8;68,7;
2010-08-05;null;57,5;
2010-08-06;null;null;
2010-08-07;null;null;
2010-08-08;null;null;
2010-08-09;null;37,8;
2010-08-10;18,1;57,4;
2010-08-11;14,7;77;
2010-08-12;14,5;73,5;
2010-08-13;15,8;59,2;
2010-08-14;18,6;53,3;
2010-08-15;17,4;66,8;
2010-08-16;12,4;87,5;
2010-08-17;11,5;70,9;
2010-08-18;11;66,3;
2010-08-19;11,3;66,7;
2010-08-20;13,3;63,5;
2010-08-21;15,2;58,3;
2010-08-22;16;51;
2010-08-23;15,6;61,6;
2010-08-24;16;62;
2010-08-25;17,3;56;
2010-08-26;17,8;57,4;
2010-08-27;18,2;52,2;
2010-08-28;18,6;55,7;
2010-08-29;17;66,1;
2010-08-30;17,4;63,3;
2010-08-31;17,1;66;
2010-09-01;15,7;68,1;
2010-09-02;16,7;70;
2010-09-03;18,1;51,5;
2010-09-04;18,8;46,4;
2010-09-05;20,1;44,1;
2010-09-06;18,2;58,5;
2010-09-07;17;70,3;
2010-09-08;17;68,4;
2010-09-09;16,7;74,3;
2010-09-10;15,5;71,8;
2010-09-11;14,9;63,2;
2010-09-12;15,5;53,5;
2010-09-13;16;59;
2010-09-14;17;62;
2010-09-15;18,4;62,9;
2010-09-16;18;63,9;
2010-09-17;18,2;65,3;
2010-09-18;20,6;48,3;
2010-09-19;18,3;66,3;
2010-09-20;17,1;73,6;
2010-09-21;17,1;77,3;
2010-09-22;17,8;68,8;
2010-09-23;17,6;62,9;
2010-09-24;18,8;58,8;
2010-09-25;18,6;68,6;
2010-09-26;19;66,6;
2010-09-27;18,9;66,3;
2010-09-28;18,9;73,7;
