Nome: MOCAMBINHO
Codigo Estacao: A539
Latitude: -15.08583333
Longitude: -44.01611111
Altitude: 454
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;25;80,6;
2010-01-02;24,8;77,4;
2010-01-03;25,5;72,8;
2010-01-04;25,6;72,1;
2010-01-05;25,9;72,4;
2010-01-06;26,3;72;
2010-01-07;24,5;83,4;
2010-01-08;25,1;79,9;
2010-01-09;25,1;78,1;
2010-01-10;25,8;68,1;
2010-01-11;25,8;71;
2010-01-12;26,5;68,5;
2010-01-13;25,9;72,3;
2010-01-14;25,8;72;
2010-01-15;26,2;74,2;
2010-01-16;26,7;67,5;
2010-01-17;25,8;65,2;
2010-01-18;26;60,3;
2010-01-19;26,5;64,7;
2010-01-20;26,7;62,7;
2010-01-21;27,5;60,3;
2010-01-22;26,1;71,3;
2010-01-23;24,4;78,1;
2010-01-24;25,6;72;
2010-01-25;27,1;66,5;
2010-01-26;25,7;68,1;
2010-01-27;27,1;61;
2010-01-28;26,9;61,9;
2010-01-29;28;56,7;
2010-01-30;27,5;54,3;
2010-01-31;26,7;59;
2010-02-01;27,5;55,8;
2010-02-02;27,9;53,5;
2010-02-03;27,6;56;
2010-02-04;28;53,9;
2010-02-05;26,4;59,8;
2010-02-06;25,4;63,3;
2010-02-07;24,1;77;
2010-02-08;23,1;79,9;
2010-02-09;23,7;78,5;
2010-02-10;24,6;76,5;
2010-02-11;25,9;66,8;
2010-02-12;26,2;65,2;
2010-02-13;26,2;64,1;
2010-02-14;27,6;58;
2010-02-15;27;57;
2010-02-16;27,7;58,5;
2010-02-17;28,5;58;
2010-02-18;29,9;50,8;
2010-02-19;27,9;56,6;
2010-02-20;27,2;60,3;
2010-02-21;27,4;58,3;
2010-02-22;27,6;59;
2010-02-23;24,7;77,4;
2010-02-24;26,7;67,5;
2010-02-25;27,9;61,4;
2010-02-26;27,2;68,3;
2010-02-27;26,1;73,6;
2010-02-28;26;78,3;
2010-03-01;25,2;80,8;
2010-03-02;23,9;90,6;
2010-03-03;25;84,5;
2010-03-04;24,5;84,4;
2010-03-05;24,3;88,5;
2010-03-06;25,5;83;
2010-03-07;24;90;
2010-03-08;25,1;83,4;
2010-03-09;24,1;90;
2010-03-10;24,1;88,2;
2010-03-11;24,6;83,2;
2010-03-12;24,6;80,7;
2010-03-13;25,9;73,5;
2010-03-14;26,8;69;
2010-03-15;26,1;71,8;
2010-03-16;26;68,2;
2010-03-17;25,5;66,2;
2010-03-18;25,9;70,5;
2010-03-19;25,1;73,9;
2010-03-20;26;69,4;
2010-03-21;25,6;73,6;
2010-03-22;23,5;87,7;
2010-03-23;24,3;85,6;
2010-03-24;24,9;79,7;
2010-03-25;25,1;75;
2010-03-26;24,9;72,6;
2010-03-27;25,1;72,3;
2010-03-28;25,7;70,2;
2010-03-29;25,3;74,1;
2010-03-30;26,2;73,7;
2010-03-31;25,6;76,3;
2010-04-01;25,1;79,8;
2010-04-02;24,4;83,3;
2010-04-03;25,6;79,1;
2010-04-04;25,2;79,8;
2010-04-05;25,2;81,1;
2010-04-06;25,4;83,5;
2010-04-07;23,8;84,5;
2010-04-08;23;69,4;
2010-04-09;21,8;70,5;
2010-04-10;22;72,1;
2010-04-11;21,1;68;
