Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;21,8;87,4;
2010-01-02;22,4;83;
2010-01-03;23;75,4;
2010-01-04;24;65,8;
2010-01-05;24,3;65,1;
2010-01-06;24,9;63,2;
2010-01-07;21,2;85,9;
2010-01-08;21,9;81,8;
2010-01-09;22,3;78;
2010-01-10;24,2;67,8;
2010-01-11;24,5;60;
2010-01-12;23,2;72,9;
2010-01-13;22,8;77,8;
2010-01-14;22,3;80,9;
2010-01-15;22,9;80;
2010-01-16;24,2;74,2;
2010-01-17;24,1;64;
2010-01-18;24;62,3;
2010-01-19;24,3;52,8;
2010-01-20;24,7;58,8;
2010-01-21;23,5;66,3;
2010-01-22;21,8;80,5;
2010-01-23;19,8;90,4;
2010-01-24;21,5;83;
2010-01-25;22;83,4;
2010-01-26;22,2;84,2;
2010-01-27;21,5;86,4;
2010-01-28;23,7;74,4;
2010-01-29;24,2;70,4;
2010-01-30;24,8;63,8;
2010-01-31;24;65;
2010-02-01;24,4;68;
2010-02-02;24,6;63,5;
2010-02-03;24,8;60,4;
2010-02-04;25;62,6;
2010-02-05;23,2;68;
2010-02-06;22,4;70;
2010-02-07;20,6;80,3;
2010-02-08;21,2;75,3;
2010-02-09;22,5;74,3;
2010-02-10;22,1;78;
2010-02-11;23;74,5;
2010-02-12;23,2;73,3;
2010-02-13;24;68,4;
2010-02-14;24,7;61,3;
2010-02-15;24,9;61,3;
2010-02-16;25,1;58,5;
2010-02-17;25,3;61,7;
2010-02-18;24,9;68,5;
2010-02-19;23,6;76,6;
2010-02-20;24,4;67,2;
2010-02-21;23,6;65,8;
2010-02-22;24,4;66,4;
2010-02-23;24,4;70,9;
2010-02-24;25,3;63,4;
2010-02-25;26,1;58,5;
2010-02-26;23,4;78,9;
2010-02-27;22,9;82,7;
2010-02-28;23,1;82,9;
2010-03-01;23,1;83,3;
2010-03-02;23,3;84,9;
