Nome: SAO ROMAO
Codigo Estacao: A547
Latitude: -16.36277777
Longitude: -45.12388888
Altitude: 490.29
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;24,7;83,4;
2010-01-02;25,7;77,6;
2010-01-03;26,1;70,8;
2010-01-04;25,8;69,1;
2010-01-05;25,8;71,1;
2010-01-06;26,2;74,1;
2010-01-07;25;79,7;
2010-01-08;25;82;
2010-01-09;25,9;78,9;
2010-01-10;26,5;72,5;
2010-01-11;26;72,8;
2010-01-12;25,9;74,3;
2010-01-13;25,9;76,1;
2010-01-14;25,9;75,7;
2010-01-15;26;75,4;
2010-01-16;27,1;69,7;
2010-01-17;25,7;68,6;
2010-01-18;25,9;65,7;
2010-01-19;25,8;66,5;
2010-01-20;26,8;66;
2010-01-21;26,8;66,4;
2010-01-22;25,7;70,5;
2010-01-23;23,7;79,4;
2010-01-24;24;81,5;
2010-01-25;25,7;77,5;
2010-01-26;25,7;74,5;
2010-01-27;26,7;70,8;
2010-01-28;26,2;71,2;
2010-01-29;26,9;65,1;
2010-01-30;26,7;62,9;
2010-01-31;26;66,3;
2010-02-01;26,1;68,4;
2010-02-02;26,6;66;
2010-02-03;26,4;63,8;
2010-02-04;27;62,5;
2010-02-05;24,3;68,7;
2010-02-06;24,4;70,7;
2010-02-07;24,1;71,1;
2010-02-08;21,9;82,4;
2010-02-09;23,5;82,2;
2010-02-10;24,2;79;
2010-02-11;25,8;72,9;
2010-02-12;25,7;69,2;
2010-02-13;25,6;67,8;
2010-02-14;25,5;68,5;
2010-02-15;25,9;67,4;
2010-02-16;26,6;66,6;
2010-02-17;27,8;63,6;
2010-02-18;28,2;63,1;
2010-02-19;26,7;64,8;
2010-02-20;26,4;67,1;
2010-02-21;26;65,2;
2010-02-22;27,3;63,8;
2010-02-23;27,2;65,6;
2010-02-24;26,6;65,8;
2010-02-25;27,4;64,7;
2010-02-26;25,6;73,9;
2010-02-27;25,1;82,7;
2010-02-28;25,3;80,8;
2010-03-01;25,2;81,9;
2010-03-02;25,1;84,8;
2010-03-03;24,4;86,2;
2010-03-04;24,8;84,3;
2010-03-05;25,3;84,5;
2010-03-06;25,9;82,2;
2010-03-07;25,8;81,6;
2010-03-08;25,6;82,1;
2010-03-09;26;79,7;
2010-03-10;26,4;79,2;
2010-03-11;26;77,7;
2010-03-12;25,6;78,1;
2010-03-13;26,2;74,1;
2010-03-14;27,1;72,1;
2010-03-15;27;71,2;
2010-03-16;26,4;71,5;
2010-03-17;25,5;71,8;
2010-03-18;25,6;72,8;
2010-03-19;25,2;74,8;
2010-03-20;25,4;73;
2010-03-21;25,9;73,6;
2010-03-22;23,9;86,2;
2010-03-23;25;82,3;
2010-03-24;24,4;82,6;
2010-03-25;25,5;79,8;
2010-03-26;25;74,5;
2010-03-27;24,8;73,8;
2010-03-28;24,7;74;
2010-03-29;25;73,8;
2010-03-30;25,1;77,9;
2010-03-31;25;80,6;
2010-04-01;23,8;86,5;
2010-04-02;23,8;87,4;
2010-04-03;24,5;86,3;
2010-04-04;24,6;84,7;
2010-04-05;25,9;80,8;
2010-04-06;25,1;81,7;
2010-04-07;23;79,1;
2010-04-08;20,8;73,5;
2010-04-09;20,5;68,1;
2010-04-10;21,3;71,2;
2010-04-11;20,9;69,2;
2010-04-12;20,9;69,9;
2010-04-13;21,2;71,9;
2010-04-14;21,7;74,5;
2010-04-15;22,5;73,8;
2010-04-16;23,3;73,8;
2010-04-17;25,9;71,8;
2010-04-18;25,3;73,5;
2010-04-19;24,3;74,3;
2010-04-20;23,7;71,7;
2010-04-21;23,5;69,6;
2010-04-22;23,3;71,4;
2010-04-23;24;70,3;
2010-04-24;24,6;68,8;
2010-04-25;24,1;67,9;
2010-04-26;23,6;70;
2010-04-27;23,6;67;
2010-04-28;23,9;67,7;
2010-04-29;25,2;68,8;
2010-04-30;24,5;70,3;
2010-05-01;23,8;73,1;
2010-05-02;23,9;70,4;
2010-05-03;22,7;66,3;
2010-05-04;21,8;69,8;
2010-05-05;21,6;68,5;
2010-05-06;22,8;66,8;
2010-05-07;23,9;64,7;
2010-05-08;23,9;66,6;
2010-05-09;23,7;66,9;
2010-05-10;24,3;73,4;
2010-05-11;22,9;83,3;
2010-05-12;23,5;82,6;
2010-05-13;23,1;71,5;
2010-05-14;22,8;70,7;
2010-05-15;24,9;69,7;
2010-05-16;24;70,5;
2010-05-17;22,8;68,2;
2010-05-18;22,4;69,8;
2010-05-19;23,6;73,5;
