Nome: CHAPADA GAUCHA
Codigo Estacao: A548
Latitude: -15.30027777
Longitude: -45.61749999
Altitude: 873.2
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;22,7;81,3;
2010-01-02;23,3;76,9;
2010-01-03;23,6;71,6;
2010-01-04;24,2;65,9;
2010-01-05;24,7;64;
2010-01-06;25,2;62,2;
2010-01-07;21,7;84,8;
2010-01-08;21,9;82,8;
2010-01-09;22,8;76,3;
2010-01-10;24,4;66,9;
2010-01-11;24,5;62,2;
2010-01-12;24,2;65,6;
2010-01-13;23,4;74,3;
2010-01-14;23,6;76,2;
2010-01-15;23;79,5;
2010-01-16;24,6;72,3;
2010-01-17;23,8;66,3;
2010-01-18;24,3;56,4;
2010-01-19;25,5;50,7;
2010-01-20;25,6;58,3;
2010-01-21;26,1;54,2;
2010-01-22;23,4;68,3;
2010-01-23;21,1;85,2;
2010-01-24;21,6;85,1;
2010-01-25;23,8;76;
2010-01-26;23,3;77,9;
2010-01-27;23,7;75;
2010-01-28;24,9;64,5;
2010-01-29;25,6;59;
2010-01-30;25,5;56,8;
2010-01-31;24,6;59,9;
2010-02-01;25;61,3;
2010-02-02;25,1;60,1;
2010-02-03;25,7;55,2;
2010-02-04;26,3;55,8;
2010-02-05;24,8;59,9;
2010-02-06;22,5;72;
2010-02-07;20,7;82,8;
2010-02-08;21,8;72,4;
2010-02-09;22,2;77,3;
2010-02-10;22,9;76,6;
2010-02-11;23,6;70,4;
2010-02-12;23,4;71,3;
2010-02-13;24,1;68,8;
2010-02-14;24,8;61,1;
2010-02-15;25,2;59,7;
2010-02-16;25,9;56,7;
2010-02-17;26,7;55,8;
2010-02-18;27,2;55,9;
2010-02-19;25,3;66,2;
2010-02-20;24,5;66,9;
2010-02-21;24,9;62,9;
2010-02-22;25,4;60,1;
2010-02-23;24,1;72,2;
2010-02-24;25,1;65,9;
2010-02-25;26,2;60;
2010-02-26;23;79,2;
2010-02-27;22,7;85,9;
2010-02-28;23,2;84,8;
2010-03-01;23,4;80,3;
2010-03-02;23;85,7;
2010-03-03;22,4;88;
2010-03-04;22,3;87,3;
2010-03-05;23,2;84,8;
2010-03-06;23,2;83,6;
2010-03-07;23,7;81,2;
2010-03-08;23,4;84,1;
2010-03-09;23,1;86,3;
2010-03-10;23,1;84,7;
2010-03-11;22,7;86;
2010-03-12;23,6;79,3;
2010-03-13;24,7;70,5;
2010-03-14;23,9;75,6;
2010-03-15;24,4;67;
2010-03-16;24,5;68,5;
2010-03-17;22,9;75,3;
2010-03-18;22,6;76,8;
2010-03-19;21,9;82,7;
2010-03-20;23,2;74,5;
2010-03-21;24;75,1;
2010-03-22;21,8;88,4;
2010-03-23;22,3;85,9;
2010-03-24;22,8;84,8;
2010-03-25;23,6;77,5;
2010-03-26;23,1;73;
2010-03-27;23,3;71,4;
2010-03-28;23,5;70,2;
2010-03-29;23,7;74;
2010-03-30;23;80,3;
2010-03-31;22,7;83,9;
2010-04-01;22,1;88,3;
2010-04-02;22,6;83,3;
2010-04-03;21,8;90,6;
2010-04-04;22,7;80,5;
2010-04-05;23,2;84,1;
2010-04-06;22,8;85,1;
2010-04-07;21,3;80,1;
2010-04-08;19,4;73,4;
2010-04-09;19,3;66,2;
2010-04-10;19,8;69,9;
2010-04-11;19,8;67,5;
2010-04-12;19,7;66,5;
2010-04-13;20,1;71;
2010-04-14;21,3;73,5;
2010-04-15;21,4;73;
2010-04-16;22,4;72,4;
2010-04-17;23,8;72,6;
2010-04-18;24,1;73;
2010-04-19;23,5;72,5;
2010-04-20;23,1;66,9;
2010-04-21;23,4;57,3;
2010-04-22;23,6;56,9;
2010-04-23;24;61;
2010-04-24;24,5;59,8;
2010-04-25;23,5;62,5;
2010-04-26;23,1;64,9;
2010-04-27;23;62,1;
2010-04-28;23,8;52,7;
2010-04-29;23,7;57,5;
2010-04-30;23,1;65;
2010-05-01;22,7;69;
2010-05-02;22,9;67,7;
2010-05-03;21,6;66,7;
2010-05-04;21,1;65,9;
2010-05-05;21,4;62,8;
2010-05-06;22,7;59,5;
2010-05-07;23,2;63,3;
2010-05-08;24,2;60;
2010-05-09;24,3;57,1;
2010-05-10;23,1;73,1;
2010-05-11;21,3;85,8;
2010-05-12;22,1;84,3;
2010-05-13;20,8;76,6;
2010-05-14;21,8;72,3;
2010-05-15;23,3;74,4;
2010-05-16;23,5;65,7;
2010-05-17;23,2;55,1;
2010-05-18;22,6;65,3;
2010-05-19;23,1;72,8;
2010-05-20;21,8;79,6;
2010-05-21;22,6;76,5;
2010-05-22;22,7;74,2;
2010-05-23;23,7;71,7;
2010-05-24;22,8;78,7;
2010-05-25;23,5;70,7;
2010-05-26;22,8;70,2;
2010-05-27;21,5;66,2;
2010-05-28;20,1;67,7;
2010-05-29;20,7;62,6;
2010-05-30;20,9;60,2;
2010-05-31;22,2;55,6;
2010-06-01;21,6;68,8;
2010-06-02;20,7;73,3;
2010-06-03;20,1;73,3;
2010-06-04;19,7;70,6;
2010-06-05;20,9;63;
2010-06-06;20,1;75,6;
2010-06-07;20,3;67,4;
2010-06-08;21,3;67,7;
2010-06-09;20,9;67,7;
2010-06-10;19,4;64,4;
2010-06-11;19,3;61;
2010-06-12;19,4;62,3;
2010-06-13;18,1;66,9;
2010-06-14;16,8;61,6;
2010-06-15;18;57;
2010-06-16;18,9;55,2;
2010-06-17;19,8;50,7;
2010-06-18;20;47;
2010-06-19;20;47,1;
2010-06-20;21,4;43,2;
2010-06-21;22;37,9;
2010-06-22;22,5;39,3;
2010-06-23;22,8;41,6;
2010-06-24;20,9;57,5;
2010-06-25;19,9;71,5;
2010-06-26;20,2;58,7;
2010-06-27;19,2;58;
2010-06-28;18,7;61,6;
2010-06-29;19;63;
2010-06-30;18,8;62,8;
2010-07-01;17,9;58,5;
2010-07-02;19,1;65,6;
2010-07-03;20,2;61,7;
2010-07-04;19,2;60,5;
2010-07-05;19;59,4;
2010-07-06;19;68;
2010-07-07;18,9;54,2;
2010-07-08;20,3;58,1;
2010-07-09;21,3;55,8;
2010-07-10;20,5;54,4;
2010-07-11;21,7;58,6;
2010-07-12;21,9;55,7;
2010-07-13;22,6;46,1;
2010-07-14;23,6;42,2;
2010-07-15;22,7;50,5;
2010-07-16;20,3;59,2;
2010-07-17;21,6;56,8;
2010-07-18;20;57,1;
2010-07-19;19,6;54,4;
2010-07-20;19,5;64,5;
2010-07-21;19,9;59,2;
2010-07-22;20,4;53,8;
2010-07-23;20,5;55,1;
2010-07-24;19,6;47,7;
2010-07-25;19,6;52,7;
2010-07-26;19,3;62,6;
2010-07-27;19,6;55,5;
2010-07-28;19,5;62,8;
2010-07-29;19,7;57;
2010-07-30;20;56,6;
2010-07-31;20,3;56,5;
2010-08-01;20,5;47,6;
2010-08-02;20,6;45,8;
2010-08-03;null;52,5;
2010-08-04;20,3;55,2;
2010-08-05;19,9;54,3;
2010-08-06;20,9;46,5;
2010-08-07;22;40,1;
2010-08-08;21,4;44,8;
2010-08-09;22,5;34,9;
2010-08-10;22,4;32,9;
2010-08-11;21;42,3;
2010-08-12;19,8;54;
2010-08-13;19,1;51;
2010-08-14;21,4;41,4;
2010-08-15;23,3;31,7;
2010-08-16;21,4;43,9;
2010-08-17;18,9;58;
2010-08-18;17,4;50,5;
2010-08-19;16,4;53;
2010-08-20;18;48,8;
2010-08-21;19,8;44,5;
2010-08-22;20,8;49,9;
2010-08-23;20,6;40,8;
2010-08-24;21;40,3;
2010-08-25;21,2;43,4;
2010-08-26;22,5;44;
2010-08-27;23,9;37,1;
2010-08-28;24,5;35,2;
2010-08-29;24,1;36,8;
2010-08-30;23,2;38,4;
2010-08-31;22,1;49,6;
2010-09-01;21,2;44,8;
2010-09-02;21,6;52,5;
2010-09-03;21,8;42,1;
2010-09-04;22,7;37,9;
2010-09-05;24,6;28,4;
2010-09-06;24,5;25,3;
2010-09-07;22,2;45,3;
2010-09-08;23,2;42,2;
2010-09-09;23,7;44,5;
2010-09-10;22,6;49,9;
2010-09-11;21,1;43,3;
2010-09-12;20,7;36,7;
2010-09-13;22,1;34,8;
2010-09-14;23,5;35,5;
2010-09-15;25;34,7;
2010-09-16;24,8;34,1;
2010-09-17;24,2;40,6;
2010-09-18;24,7;35,9;
2010-09-19;23,9;41,1;
2010-09-20;22,7;50,2;
2010-09-21;22,3;52,6;
2010-09-22;23,5;39,6;
2010-09-23;24,5;34,2;
2010-09-24;24,7;36,9;
2010-09-25;25,3;38,5;
2010-09-26;26;36,8;
2010-09-27;26,7;35,5;
2010-09-28;27,5;41,6;
2010-09-29;22,6;77,3;
2010-09-30;25,4;65,2;
2010-10-01;25,1;63,5;
2010-10-02;23,5;70,4;
2010-10-03;25,1;60,9;
2010-10-04;26,1;51,7;
2010-10-05;27,1;42,6;
2010-10-06;28,2;30,9;
2010-10-07;28,2;40,3;
2010-10-08;26,5;56;
2010-10-09;26;61,3;
2010-10-10;25;59,1;
2010-10-11;25,1;57,8;
2010-10-12;24,5;68,6;
2010-10-13;26,3;53,7;
2010-10-14;25,5;54,8;
2010-10-15;26;52,6;
2010-10-16;25,9;53;
