Nome: MANHUACU
Codigo Estacao: A556
Latitude: -20.26333333
Longitude: -42.18277777
Altitude: 819.47
Situacao: Operante
Data Inicial: 2010-09-24
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-09-24;null;null;
2010-09-25;null;null;
2010-09-26;null;null;
2010-09-27;null;null;
2010-09-28;null;86,4;
2010-09-29;20,9;76,1;
2010-09-30;22,9;70;
2010-10-01;24,2;66;
2010-10-02;21,2;74,8;
2010-10-03;20,7;76,5;
2010-10-04;18,3;69,7;
2010-10-05;20,1;74,8;
2010-10-06;21,9;72,5;
2010-10-07;20,9;79,9;
2010-10-08;21,7;75,2;
2010-10-09;22,1;58;
2010-10-10;17,7;67,9;
2010-10-11;16,4;81,4;
2010-10-12;16;79,4;
2010-10-13;14,8;76,6;
2010-10-14;16,9;73,5;
2010-10-15;19,7;72;
2010-10-16;21,2;70,5;
2010-10-17;21,5;71,5;
2010-10-18;21;79,3;
2010-10-19;19,1;79,9;
2010-10-20;16,5;87,4;
2010-10-21;19,4;71,8;
2010-10-22;19,8;70,4;
2010-10-23;20,9;65,4;
2010-10-24;19,6;73;
2010-10-25;21,2;69,8;
2010-10-26;19,2;85,1;
2010-10-27;19,8;76,4;
2010-10-28;19,5;70,5;
2010-10-29;20,1;72,3;
2010-10-30;22,6;64,3;
2010-10-31;22,3;72,1;
2010-11-01;21,1;82,3;
2010-11-02;18,4;84,8;
2010-11-03;17,8;85,9;
2010-11-04;20,7;72,5;
2010-11-05;19,8;82,1;
2010-11-06;20,6;82,8;
2010-11-07;20;85,6;
2010-11-08;21,3;78,6;
2010-11-09;20,8;83,3;
2010-11-10;20,7;79;
2010-11-11;18,9;87,8;
2010-11-12;18,2;80,2;
2010-11-13;16,2;84,9;
2010-11-14;16,4;82,3;
2010-11-15;17;84,7;
2010-11-16;19;83,7;
2010-11-17;20,4;83,1;
2010-11-18;21,6;74,8;
2010-11-19;22,8;63,7;
2010-11-20;23,7;69,5;
2010-11-21;23,1;69,3;
2010-11-22;21;77,9;
2010-11-23;21,1;81,9;
2010-11-24;21,6;83,6;
2010-11-25;22,2;81,6;
2010-11-26;21,1;83,1;
2010-11-27;23;74,6;
2010-11-28;22,1;73,3;
2010-11-29;22,4;71,2;
2010-11-30;22,7;69,5;
2010-12-01;22,2;79;
2010-12-02;21,3;85,9;
2010-12-03;23,3;76,4;
2010-12-04;21,2;84,2;
2010-12-05;23,2;76,5;
2010-12-06;23,2;75,9;
2010-12-07;21,5;86;
2010-12-08;22,2;81,3;
2010-12-09;23,8;71,8;
2010-12-10;22,8;70,4;
2010-12-11;22,3;72;
2010-12-12;22,9;70,6;
2010-12-13;23,5;73,6;
2010-12-14;23,4;78,4;
2010-12-15;22,3;82,5;
2010-12-16;22,5;72,4;
2010-12-17;22,2;69,4;
2010-12-18;21,8;71,9;
2010-12-19;22,9;66,9;
2010-12-20;22,8;68,2;
2010-12-21;22,7;71,6;
2010-12-22;23,8;69,2;
2010-12-23;22,8;72;
2010-12-24;20,2;83,4;
2010-12-25;21,8;79,3;
2010-12-26;22,3;81,9;
2010-12-27;21;85,9;
2010-12-28;21,1;87,5;
2010-12-29;21;86,5;
2010-12-30;20,4;85,4;
2010-12-31;18,9;90,3;
2011-01-01;null;81,3;
2011-01-02;null;72,7;
2011-01-03;21,8;74,4;
2011-01-04;21,9;79,3;
2011-01-05;null;80,8;
2011-01-06;null;66,1;
2011-01-07;21,8;71,8;
2011-01-08;21,6;68,4;
2011-01-09;21,8;70,7;
2011-01-10;22,2;70;
2011-01-11;22;76,8;
2011-01-12;23;73;
2011-01-13;22,2;80,8;
2011-01-14;23;77,5;
2011-01-15;21;87,6;
2011-01-16;23,1;75,8;
2011-01-17;23,9;71,9;
2011-01-18;23,5;74,8;
2011-01-19;22,4;73,3;
2011-01-20;22,8;70,4;
2011-01-21;23,1;68,8;
2011-01-22;22,8;71,1;
2011-01-23;23,1;68,3;
2011-01-24;22,7;67,8;
2011-01-25;22,5;66,1;
2011-01-26;22,6;68,9;
2011-01-27;23,3;64,8;
2011-01-28;23,1;70,3;
2011-01-29;23;68,8;
2011-01-30;23,3;68,2;
2011-01-31;23,6;67,6;
2011-02-01;22,5;68;
2011-02-02;22,7;64,8;
2011-02-03;22,3;65,5;
2011-02-04;22,1;65,1;
2011-02-05;22,9;62,5;
2011-02-06;22,7;67;
2011-02-07;22,8;64,9;
2011-02-08;23,2;63;
2011-02-09;22,9;63,5;
2011-02-10;23;66,6;
2011-02-11;23,7;66,4;
2011-02-12;22,6;63,3;
2011-02-13;21,3;70,6;
2011-02-14;22,7;67;
2011-02-15;23,4;64;
2011-02-16;23,1;63,5;
2011-02-17;22,2;69,7;
2011-02-18;23,2;61,8;
2011-02-19;22,9;67,7;
2011-02-20;22,5;70;
2011-02-21;23,3;64,9;
2011-02-22;23,7;64,1;
2011-02-23;23,7;65,7;
2011-02-24;21,9;79,5;
2011-02-25;22,1;81,4;
2011-02-26;22;82,3;
2011-02-27;23,3;78,1;
2011-02-28;21,9;83,7;
2011-03-01;21,6;78,7;
2011-03-02;20,7;85,2;
2011-03-03;20,4;82,9;
2011-03-04;null;86,3;
2011-03-05;null;null;
2011-03-06;null;null;
2011-03-07;null;null;
2011-03-08;null;83,5;
2011-03-09;null;83,6;
2011-03-10;null;78,6;
2011-03-11;null;78,7;
2011-03-12;23;77,4;
2011-03-13;null;80,9;
2011-03-14;21,5;85,6;
2011-03-15;null;77,9;
2011-03-16;null;86,1;
2011-03-17;null;72,9;
2011-03-18;20,8;80,6;
2011-03-19;null;66,9;
2011-03-20;21;66,6;
2011-03-21;20,7;70,6;
2011-03-22;19,8;76,4;
2011-03-23;19,8;80,3;
2011-03-24;20,7;81,8;
2011-03-25;20,9;79,9;
2011-03-26;22,1;77;
2011-03-27;22,4;76,9;
2011-03-28;null;75;
2011-03-29;null;76,6;
2011-03-30;null;80,7;
2011-03-31;22,1;81,2;
2011-04-01;22,1;74,8;
2011-04-02;21,9;77;
2011-04-03;21,6;80,9;
2011-04-04;20,5;87,2;
2011-04-05;20,5;84;
2011-04-06;20,2;82,8;
2011-04-07;20,1;76,6;
2011-04-08;19,6;76,3;
2011-04-09;19,3;82,5;
2011-04-10;20,3;82,7;
2011-04-11;null;72,9;
2011-04-12;null;74,5;
2011-04-13;21,7;74;
2011-04-14;20,7;75,9;
2011-04-15;20,9;74,4;
2011-04-16;21,5;73,8;
2011-04-17;20,5;78,3;
2011-04-18;21;74,7;
2011-04-19;19,7;82,2;
2011-04-20;null;69,2;
2011-04-21;19,9;80,6;
2011-04-22;null;72,4;
2011-04-23;null;74,9;
2011-04-24;null;71,8;
2011-04-25;null;73;
2011-04-26;null;78,6;
2011-04-27;null;67,9;
2011-04-28;null;70,5;
2011-04-29;null;76;
2011-04-30;null;null;
2011-05-01;null;70,2;
2011-05-02;null;64,2;
2011-05-03;null;72,7;
2011-05-04;null;null;
2011-05-05;null;null;
2011-05-06;null;null;
2011-05-07;null;null;
2011-05-08;null;null;
2011-05-09;null;null;
2011-05-10;null;null;
2011-05-11;null;null;
2011-05-12;null;null;
2011-05-13;null;null;
2011-05-14;null;null;
2011-05-15;null;null;
2011-05-16;null;null;
2011-05-17;null;null;
2011-05-18;null;null;
2011-05-19;null;null;
2011-05-20;null;null;
2011-05-21;null;null;
2011-05-22;null;null;
2011-05-23;null;null;
2011-05-24;null;null;
2011-05-25;null;null;
2011-05-26;null;null;
2011-05-27;null;null;
2011-05-28;null;null;
2011-05-29;null;null;
2011-05-30;null;null;
2011-05-31;null;null;
2011-06-01;null;null;
2011-06-02;null;null;
2011-06-03;null;null;
2011-06-04;null;null;
2011-06-05;null;null;
2011-06-06;null;null;
2011-06-07;null;null;
2011-06-08;null;null;
2011-06-09;null;null;
2011-06-10;null;null;
2011-06-11;null;null;
2011-06-12;null;null;
2011-06-13;null;null;
2011-06-14;null;null;
2011-06-15;null;null;
2011-06-16;null;null;
2011-06-17;null;null;
2011-06-18;null;null;
2011-06-19;null;null;
2011-06-20;null;null;
2011-06-21;null;null;
2011-06-22;null;null;
2011-06-23;null;null;
2011-06-24;null;null;
2011-06-25;null;null;
2011-06-26;null;null;
2011-06-27;null;null;
2011-06-28;null;null;
2011-06-29;null;null;
2011-06-30;null;null;
2011-07-01;null;null;
2011-07-02;null;null;
2011-07-03;null;null;
2011-07-04;null;null;
2011-07-05;null;null;
2011-07-06;null;null;
2011-07-07;null;null;
2011-07-08;null;null;
2011-07-09;null;null;
2011-07-10;null;null;
2011-07-11;null;null;
2011-07-12;null;null;
2011-07-13;null;null;
2011-07-14;null;null;
2011-07-15;null;null;
2011-07-16;null;null;
2011-07-17;null;null;
2011-07-18;null;null;
2011-07-19;null;null;
2011-07-20;null;null;
2011-07-21;null;null;
2011-07-22;null;null;
2011-07-23;null;null;
2011-07-24;null;null;
2011-07-25;null;null;
2011-07-26;null;null;
2011-07-27;null;null;
2011-07-28;null;null;
2011-07-29;null;null;
2011-07-30;null;null;
2011-07-31;null;null;
2011-08-01;null;null;
2011-08-02;20,5;67,3;
2011-08-03;21,4;62,7;
2011-08-04;20,9;67;
2011-08-05;15,5;90;
2011-08-06;16,8;80,3;
2011-08-07;17,9;75;
2011-08-08;18,1;79,2;
2011-08-09;18,9;70,9;
2011-08-10;19,7;69,7;
2011-08-11;17,7;74,7;
2011-08-12;17,2;73,9;
2011-08-13;16,1;76,3;
2011-08-14;18,8;63,7;
2011-08-15;17,7;66,5;
2011-08-16;17,2;68,2;
2011-08-17;16,6;71,4;
2011-08-18;17,7;62,8;
2011-08-19;18,2;63,1;
2011-08-20;19;68,5;
2011-08-21;17,8;79,4;
2011-08-22;16,4;76;
2011-08-23;18,1;74,5;
2011-08-24;18,5;72;
2011-08-25;18,3;70,8;
2011-08-26;18,9;67,8;
2011-08-27;19,3;69,4;
2011-08-28;19,7;66;
2011-08-29;18,6;67,4;
2011-08-30;18,8;66;
2011-08-31;20,2;65,6;
2011-09-01;18;79,3;
2011-09-02;16;73;
2011-09-03;14,7;67,5;
2011-09-04;15;63,9;
2011-09-05;16,2;64,8;
2011-09-06;17,9;59,3;
2011-09-07;17,6;64;
2011-09-08;18,8;67,6;
2011-09-09;20;66,3;
2011-09-10;22,5;55,4;
2011-09-11;23;56,5;
2011-09-12;19,2;77,7;
2011-09-13;18,7;78,3;
2011-09-14;20;69,3;
2011-09-15;18,2;79,4;
2011-09-16;16,6;76,3;
2011-09-17;16,1;64,2;
2011-09-18;14,8;74,2;
2011-09-19;15;69,2;
2011-09-20;15,9;61,8;
2011-09-21;17,9;60,1;
2011-09-22;20;58;
2011-09-23;20,3;62,7;
2011-09-24;20,8;62,5;
2011-09-25;17,5;77,1;
2011-09-26;16,5;67,1;
2011-09-27;18,5;60,2;
2011-09-28;20;61,6;
2011-09-29;20,2;68;
2011-09-30;20,8;71;
2011-10-01;21,5;64,9;
2011-10-02;22,1;55,4;
2011-10-03;19,4;75,9;
2011-10-04;18,9;78,5;
2011-10-05;17,1;79,8;
2011-10-06;17,4;90,5;
2011-10-07;19,9;78,1;
2011-10-08;21;66,2;
2011-10-09;20,2;68;
2011-10-10;19,6;77,5;
2011-10-11;19,6;84,7;
2011-10-12;21,4;78,3;
2011-10-13;20,8;82,3;
2011-10-14;19,8;86,5;
2011-10-15;21,1;84,2;
2011-10-16;21,5;83,5;
2011-10-17;20,4;88,7;
2011-10-18;19,1;73,4;
2011-10-19;16,9;65,5;
2011-10-20;15,8;72,2;
2011-10-21;16;68,4;
2011-10-22;null;82,8;
2011-10-23;null;91,6;
2011-10-24;null;81,7;
2011-10-25;null;77,1;
2011-10-26;null;76,3;
2011-10-27;null;79,2;
2011-10-28;null;65,8;
2011-10-29;21,8;68,9;
2011-10-30;21;82,2;
2011-10-31;null;null;
2011-11-01;null;65,1;
2011-11-02;null;62,9;
2011-11-03;17,1;68,4;
2011-11-04;null;65,6;
2011-11-05;18,4;69,8;
2011-11-06;18,7;68,6;
2011-11-07;18,5;70,2;
2011-11-08;19,1;77,3;
2011-11-09;20;69,5;
2011-11-10;19,4;78,1;
2011-11-11;21,4;68,1;
2011-11-12;22,3;70,7;
2011-11-13;20,3;84,9;
2011-11-14;21,3;73,7;
2011-11-15;20,2;84,1;
2011-11-16;null;81;
2011-11-17;18,8;85,8;
2011-11-18;null;81,6;
2011-11-19;null;null;
2011-11-20;null;79,1;
2011-11-21;null;75,1;
2011-11-22;null;76,2;
2011-11-23;null;89,9;
2011-11-24;null;64,9;
2011-11-25;21,1;84;
2011-11-26;20,7;82,5;
2011-11-27;null;88,8;
2011-11-28;null;null;
2011-11-29;null;87;
