Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2016-06-22;null;null;
2016-06-23;null;null;
2016-06-24;null;null;
2016-06-25;null;null;
2016-06-26;null;null;
2016-06-27;null;null;
2016-06-28;22,1;54,9;
2016-06-29;22,7;54,1;
2016-06-30;21,5;60,3;
2016-07-01;21,7;55,9;
2016-07-02;22,2;59,3;
2016-07-03;22,5;57,1;
2016-07-04;23,4;59,5;
2016-07-05;23,4;59,4;
2016-07-06;23;53,7;
2016-07-07;23,9;47,7;
2016-07-08;24,9;43,3;
2016-07-09;24,3;48,5;
2016-07-10;23,8;49,5;
2016-07-11;22,3;52;
2016-07-12;21,6;51;
2016-07-13;22,5;48,5;
2016-07-14;22,4;49;
2016-07-15;22,7;48,3;
2016-07-16;22,7;48;
2016-07-17;23,2;47;
2016-07-18;25,1;45,2;
2016-07-19;24,7;49,9;
2016-07-20;24,9;51,8;
2016-07-21;24,3;53;
2016-07-22;23,8;55;
2016-07-23;23,8;52;
2016-07-24;23,3;52,4;
2016-07-25;23,8;56,2;
2016-07-26;23,3;55,2;
2016-07-27;21,7;51,5;
2016-07-28;22,5;43,3;
2016-07-29;22,2;45,4;
2016-07-30;21,7;53;
2016-07-31;22,4;55,7;
2016-08-01;20,9;51,4;
2016-08-02;21,5;50;
2016-08-03;23,9;57,2;
2016-08-04;23,7;54,7;
2016-08-05;null;50,6;
2016-08-06;22,5;51,8;
2016-08-07;23,6;50,1;
2016-08-08;23,3;49,1;
2016-08-09;24,6;40,1;
2016-08-10;23,7;40,3;
2016-08-11;25,3;32,6;
2016-08-12;25,5;47,2;
2016-08-13;24,6;60,2;
2016-08-14;23,6;58,6;
2016-08-15;24,5;54,5;
2016-08-16;25;46;
2016-08-17;27,2;46,2;
2016-08-18;28,3;40,7;
2016-08-19;27,1;46;
2016-08-20;26;46,8;
2016-08-21;27,1;42,8;
2016-08-22;27,5;48,6;
2016-08-23;26,9;49,8;
2016-08-24;25,4;50,6;
2016-08-25;23,3;48,1;
2016-08-26;23,2;46;
2016-08-27;24,7;47,2;
2016-08-28;25,6;47,1;
2016-08-29;25;43,6;
2016-08-30;26,5;49,2;
2016-08-31;27,1;44;
2016-09-01;27,4;43,7;
2016-09-02;26,2;46;
2016-09-03;24,9;41,1;
2016-09-04;25;44,4;
