Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2017-05-11;null;null;
2017-05-12;null;null;
2017-05-13;21,1;61,7;
2017-05-14;22,9;56,4;
2017-05-15;21,6;81,3;
2017-05-16;21,5;78,1;
2017-05-17;20,6;81,3;
2017-05-18;19,5;88,1;
2017-05-19;19,1;87,3;
2017-05-20;18,3;92,1;
2017-05-21;20,5;84,8;
2017-05-22;22,1;79;
2017-05-23;22;80;
2017-05-24;21,7;76,9;
2017-05-25;21;72;
2017-05-26;20,8;70,9;
2017-05-27;19,8;72,8;
2017-05-28;19,4;66,4;
2017-05-29;19,8;63,4;
2017-05-30;19,6;58,6;
2017-05-31;20,4;59,3;
2017-06-01;null;66,4;
2017-06-02;21,2;72,8;
2017-06-03;21,4;68,3;
2017-06-04;21,9;70,2;
2017-06-05;22;65,4;
2017-06-06;21,5;61,6;
2017-06-07;21,3;55,1;
2017-06-08;21,3;56,7;
2017-06-09;22;56,7;
2017-06-10;19,3;60,9;
2017-06-11;19,8;53,5;
2017-06-12;21,3;64,5;
2017-06-13;20,6;69,1;
2017-06-14;21;66,7;
2017-06-15;20;68,6;
2017-06-16;18,8;66;
2017-06-17;19,1;59,1;
2017-06-18;19,2;54,4;
2017-06-19;19,1;52;
2017-06-20;19,3;48,1;
2017-06-21;19,1;52;
2017-06-22;17,8;65,3;
2017-06-23;18,2;64,2;
2017-06-24;18,4;57,8;
2017-06-25;17,8;62,9;
2017-06-26;17,6;66,1;
2017-06-27;18,2;63,3;
2017-06-28;18,5;63,6;
2017-06-29;18,4;56,3;
2017-06-30;17,7;50,8;
2017-07-01;19;43,8;
2017-07-02;18,7;47;
2017-07-03;16,6;56,9;
2017-07-04;14,4;54,9;
2017-07-05;15,2;56,2;
2017-07-06;17;59,9;
2017-07-07;17,2;64,2;
2017-07-08;17,4;61,3;
2017-07-09;17,8;55,9;
2017-07-10;18,4;62,8;
2017-07-11;18,6;60,6;
2017-07-12;19,1;56;
2017-07-13;18,9;55,5;
2017-07-14;18,5;54,6;
2017-07-15;17,8;58;
2017-07-16;17,9;54,4;
2017-07-17;17,6;53;
2017-07-18;18,5;48,1;
2017-07-19;17,9;52,3;
2017-07-20;19,2;45,5;
2017-07-21;19,9;46,1;
2017-07-22;20,1;39,7;
2017-07-23;19,7;38,4;
2017-07-24;18,9;47,6;
2017-07-25;19;57,3;
2017-07-26;18,2;49,7;
2017-07-27;17,4;49,2;
2017-07-28;18,8;52,6;
2017-07-29;18,5;54;
2017-07-30;17,2;57,5;
2017-07-31;16,7;55;
2017-08-01;17,2;47,5;
2017-08-02;18,4;42,9;
2017-08-03;21,3;35,9;
2017-08-04;21;45,3;
2017-08-05;19,5;43,8;
2017-08-06;20,4;47,8;
2017-08-07;19,9;54,1;
2017-08-08;21;45,8;
2017-08-09;23,1;38,9;
2017-08-10;24,2;31,8;
2017-08-11;23,7;31,8;
2017-08-12;21,8;47,2;
2017-08-13;22,6;39,4;
2017-08-14;23,6;32,5;
2017-08-15;24;38,3;
2017-08-16;21,7;45;
2017-08-17;23;36,8;
2017-08-18;23,2;45,7;
2017-08-19;22,9;46,7;
2017-08-20;23,7;39,4;
2017-08-21;null;61,2;
2017-08-22;20,7;57,8;
2017-08-23;20,7;54,7;
2017-08-24;19,5;59,5;
2017-08-25;19,9;50,9;
2017-08-26;20,2;43,5;
2017-08-27;22;34,5;
2017-08-28;23;31,3;
2017-08-29;23;32,3;
2017-08-30;23,8;28,2;
2017-08-31;25,3;24,2;
2017-09-01;23,9;38,4;
2017-09-02;21;50,4;
2017-09-03;20;41;
2017-09-04;null;43,5;
2017-09-05;19,9;38,5;
2017-09-06;null;29,1;
2017-09-07;null;26,2;
2017-09-08;null;30,9;
2017-09-09;22,1;31,9;
2017-09-10;null;39;
2017-09-11;null;40,5;
2017-09-12;23,3;35,4;
2017-09-13;null;39;
2017-09-14;null;38,2;
2017-09-15;23,2;35;
2017-09-16;23,2;32,6;
2017-09-17;22,8;36,5;
2017-09-18;23,2;38,4;
2017-09-19;23,1;37,3;
2017-09-20;23;41,1;
2017-09-21;21,8;40,4;
2017-09-22;21,5;43,1;
2017-09-23;22,2;38,5;
2017-09-24;22,7;34,7;
2017-09-25;22,3;35,2;
2017-09-26;21,5;44,3;
2017-09-27;21,5;48,3;
2017-09-28;22,8;50,8;
2017-09-29;26;38,6;
2017-09-30;18,7;81;
2017-10-01;21,8;65,5;
2017-10-02;23,9;59,3;
2017-10-03;17,3;88,5;
2017-10-04;20,7;73;
2017-10-05;23;63,8;
2017-10-06;24;53,7;
2017-10-07;24,7;40,5;
2017-10-08;25,1;38,8;
2017-10-09;26,2;34,9;
2017-10-10;26,2;38,8;
2017-10-11;26,8;31,2;
2017-10-12;27,3;29,2;
2017-10-13;26,2;32;
2017-10-14;26,9;28,3;
2017-10-15;28;25,1;
2017-10-16;27;41,9;
2017-10-17;25,1;49;
2017-10-18;24,5;41,2;
2017-10-19;24;33,4;
2017-10-20;26,3;29,8;
2017-10-21;27,7;27;
2017-10-22;27,2;35,8;
2017-10-23;22,8;60;
2017-10-24;22,3;62,5;
2017-10-25;24,9;47;
2017-10-26;26,6;35,3;
2017-10-27;25,9;46,6;
2017-10-28;21,8;73,9;
2017-10-29;23,5;60,8;
2017-10-30;24,7;63;
2017-10-31;21,5;80,9;
2017-11-01;20,4;86;
2017-11-02;21;78,4;
2017-11-03;22,5;65,3;
2017-11-04;22,6;67,3;
2017-11-05;20,8;79,7;
2017-11-06;22,4;74,2;
2017-11-07;22,4;75,5;
2017-11-08;21,3;72,1;
2017-11-09;19,8;85,2;
2017-11-10;19,7;88,5;
2017-11-11;20,7;86,7;
2017-11-12;22,9;71,6;
2017-11-13;23,6;50,6;
2017-11-14;24,3;47,7;
2017-11-15;23,3;64,7;
2017-11-16;23,3;60,1;
2017-11-17;24;55,5;
2017-11-18;23,4;65,8;
2017-11-19;22,7;75,2;
2017-11-20;22,9;77,2;
2017-11-21;22,8;80,3;
2017-11-22;20,6;85,6;
2017-11-23;21,9;83;
2017-11-24;21,2;87;
2017-11-25;22,7;76,3;
2017-11-26;21,8;81,8;
2017-11-27;null;80,5;
2017-11-28;22,6;77;
2017-11-29;22,5;78,4;
2017-11-30;21,2;79,4;
2017-12-01;20,2;87,5;
2017-12-02;20,8;88,7;
2017-12-03;21,8;86,3;
2017-12-04;23,1;80,8;
2017-12-05;23,3;82,5;
2017-12-06;22;85,3;
2017-12-07;21,4;86,7;
2017-12-08;22,2;87;
2017-12-09;22,7;85,8;
2017-12-10;23,6;75,5;
2017-12-11;21,3;86,8;
2017-12-12;21,7;83,9;
2017-12-13;20,7;83,2;
2017-12-14;20,5;85,1;
2017-12-15;20,8;85,4;
2017-12-16;21,2;83,3;
2017-12-17;20,5;85,1;
2017-12-18;22,1;73,2;
2017-12-19;23,9;66,3;
2017-12-20;23,7;61,9;
2017-12-21;24,1;61,3;
2017-12-22;23,6;67,3;
2017-12-23;23,9;71,9;
2017-12-24;25,3;64,8;
2017-12-25;24,9;68,3;
2017-12-26;23,9;75,4;
2017-12-27;23,9;75,8;
2017-12-28;25,3;63,1;
2017-12-29;25,9;57,2;
2017-12-30;null;80,9;
2017-12-31;21,8;81,6;
2018-01-01;23,9;67,8;
2018-01-02;23,5;71,3;
2018-01-03;22,5;80,2;
2018-01-04;21,3;88,5;
2018-01-05;20,1;90,8;
2018-01-06;21,5;83,5;
2018-01-07;21,5;82,8;
2018-01-08;22,2;80,8;
2018-01-09;23;70,7;
2018-01-10;23,7;67;
2018-01-11;22,9;67;
2018-01-12;22,4;65;
2018-01-13;23,2;65;
2018-01-14;22,1;76,3;
2018-01-15;20,8;86,8;
2018-01-16;23,2;75,9;
2018-01-17;24,1;66,9;
2018-01-18;24,6;51,3;
2018-01-19;24,1;54,4;
2018-01-20;25,1;47,2;
2018-01-21;25,3;47,4;
2018-01-22;25,4;47,2;
2018-01-23;24,1;62,5;
2018-01-24;23,2;75;
