Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2017-10-25;null;null;
2017-10-26;null;null;
2017-10-27;null;null;
2017-10-28;null;null;
2017-10-29;null;null;
2017-10-30;null;63;
2017-10-31;22,7;78,7;
2017-11-01;20,9;72,1;
2017-11-02;21,9;65,3;
2017-11-03;23,1;61,3;
2017-11-04;23,5;63,7;
2017-11-05;23,6;71,9;
2017-11-06;23,1;74;
2017-11-07;21,4;70;
2017-11-08;21,5;69,3;
2017-11-09;20,9;76,8;
2017-11-10;21,5;78,8;
2017-11-11;21;88,6;
2017-11-12;22,9;72,6;
2017-11-13;23,5;46;
2017-11-14;23,6;54,9;
2017-11-15;25;56,6;
2017-11-16;24,8;56;
2017-11-17;25,5;53,9;
2017-11-18;24,1;67,6;
2017-11-19;22,8;81,7;
2017-11-20;23,7;79,9;
2017-11-21;22,4;85,8;
2017-11-22;21,2;90,9;
2017-11-23;21;89,1;
2017-11-24;21,9;78,2;
2017-11-25;23,7;71;
2017-11-26;23;69,9;
2017-11-27;21,5;87,2;
2017-11-28;23,9;77,3;
2017-11-29;23,5;74,2;
2017-11-30;22,7;74,3;
2017-12-01;19;95,4;
2017-12-02;21;88,8;
2017-12-03;22,4;89,1;
2017-12-04;23,9;83,8;
2017-12-05;24,7;79;
2017-12-06;23;81,8;
2017-12-07;21,7;87,5;
2017-12-08;22,8;88,1;
2017-12-09;24,1;78;
2017-12-10;24,8;69,8;
2017-12-11;23,6;78,3;
2017-12-12;23,8;70,1;
2017-12-13;23;67,6;
2017-12-14;23,1;72,2;
2017-12-15;23,1;71,1;
2017-12-16;21,2;82,3;
2017-12-17;21,6;83,6;
2017-12-18;24,2;69,8;
2017-12-19;25,3;62,3;
2017-12-20;25,2;56,6;
2017-12-21;24,8;66;
2017-12-22;22,7;76,1;
2017-12-23;24,8;68,4;
2017-12-24;26,2;64;
2017-12-25;26,7;63;
2017-12-26;24,9;73,2;
2017-12-27;24,5;70,4;
2017-12-28;25,6;68,4;
2017-12-29;24,5;71,2;
2017-12-30;22;88,4;
2017-12-31;22,9;82,3;
2018-01-01;24,4;75,5;
2018-01-02;23,7;79,5;
2018-01-03;23,4;80,4;
2018-01-04;21,5;92,2;
2018-01-05;20,7;92,8;
2018-01-06;22,7;80,8;
2018-01-07;22,6;82,3;
2018-01-08;22,3;81,7;
2018-01-09;23,4;68,2;
2018-01-10;24,8;66,5;
2018-01-11;24,1;64,5;
2018-01-12;23;71,5;
2018-01-13;24,5;67,9;
2018-01-14;21,4;85,9;
2018-01-15;22,4;82,9;
2018-01-16;24,1;75,4;
2018-01-17;25,6;67,4;
2018-01-18;25,6;55,4;
2018-01-19;25,1;59,8;
2018-01-20;25,8;55,8;
2018-01-21;25,3;56,5;
2018-01-22;25,9;58,8;
2018-01-23;25;63,5;
2018-01-24;24,4;75,7;
2018-01-25;24,3;76,5;
2018-01-26;24,2;69,2;
2018-01-27;24,5;71,5;
2018-01-28;25,4;67;
2018-01-29;24,5;77,4;
2018-01-30;22,5;89,2;
2018-01-31;23,2;87,9;
2018-02-01;22,9;76,5;
2018-02-02;21,5;88,7;
2018-02-03;22,8;80,3;
2018-02-04;21,2;82,5;
2018-02-05;19;92,4;
2018-02-06;20,5;91,8;
2018-02-07;22,6;79,1;
2018-02-08;24;71,3;
2018-02-09;24,3;72,9;
2018-02-10;24,1;79,7;
2018-02-11;24,4;75,3;
2018-02-12;25,6;60,4;
2018-02-13;25,3;67,4;
2018-02-14;25,5;64,4;
2018-02-15;25;62,9;
2018-02-16;23,7;69;
2018-02-17;24,4;65,4;
2018-02-18;24,5;66,9;
2018-02-19;23,1;80;
2018-02-20;23,2;83,2;
2018-02-21;23,7;82,6;
2018-02-22;22,9;84;
2018-02-23;22,8;82,7;
2018-02-24;22,4;84,7;
2018-02-25;21,7;88,6;
2018-02-26;23;82,3;
2018-02-27;23,8;79,3;
2018-02-28;23,3;80,7;
2018-03-01;24,5;76,7;
2018-03-02;23,5;86,2;
2018-03-03;23,8;82;
2018-03-04;24,4;80,3;
2018-03-05;24,2;78,4;
2018-03-06;25,1;76;
2018-03-07;25,3;77,3;
2018-03-08;24,1;81,7;
2018-03-09;22,9;88;
2018-03-10;23,7;82,9;
2018-03-11;23,5;86,3;
2018-03-12;24,6;77,5;
2018-03-13;25,7;71,7;
2018-03-14;25,2;76;
2018-03-15;25,2;75,5;
2018-03-16;24,5;79,1;
2018-03-17;24,3;77,4;
2018-03-18;23,5;78,6;
2018-03-19;24,6;73,5;
2018-03-20;25;73,4;
2018-03-21;22,6;85,1;
2018-03-22;23,3;76,9;
2018-03-23;23,8;75,8;
2018-03-24;24,1;65,6;
2018-03-25;22,8;71,8;
2018-03-26;24,1;66,2;
2018-03-27;23,7;62,7;
2018-03-28;23,2;65,8;
2018-03-29;23,1;69,7;
2018-03-30;22,8;70;
2018-03-31;22,4;72;
2018-04-01;23,1;71;
2018-04-02;23,7;75,5;
2018-04-03;23,6;79,9;
2018-04-04;23,4;81,8;
2018-04-05;23,8;77,7;
2018-04-06;22,7;77,1;
2018-04-07;22,5;77,4;
2018-04-08;23,2;73,7;
2018-04-09;22,8;72,4;
2018-04-10;22,4;70,8;
2018-04-11;21,9;67,7;
2018-04-12;21,6;68,5;
2018-04-13;21,8;75,1;
2018-04-14;22,7;71,9;
2018-04-15;22,5;72,2;
2018-04-16;21;78,7;
2018-04-17;20,5;66,7;
2018-04-18;19,8;68,3;
2018-04-19;20,5;67,6;
2018-04-20;20,3;70,8;
2018-04-21;20;74,4;
2018-04-22;20,3;71,9;
2018-04-23;20,3;69,6;
2018-04-24;20,4;73,2;
2018-04-25;21,3;71,8;
2018-04-26;21,4;73,3;
2018-04-27;21,6;72,6;
2018-04-28;21,6;71,5;
2018-04-29;20,1;70,5;
2018-04-30;20,1;68,9;
2018-05-01;20,2;65,3;
2018-05-02;20;62,3;
2018-05-03;20,1;62,7;
2018-05-04;20,6;68,9;
2018-05-05;21,4;70;
2018-05-06;21,5;71,3;
2018-05-07;20,5;68,6;
2018-05-08;19,6;72,2;
2018-05-09;19,1;72,8;
2018-05-10;18,8;70,8;
2018-05-11;19,9;69;
2018-05-12;20,9;68,2;
2018-05-13;21,2;68,3;
2018-05-14;21,2;75,9;
2018-05-15;21,1;71,5;
2018-05-16;20,3;73,9;
2018-05-17;19,2;82,7;
2018-05-18;20,1;80,8;
2018-05-19;18,4;89,5;
2018-05-20;16,9;71,5;
2018-05-21;13,6;66,7;
2018-05-22;15,2;64,4;
2018-05-23;16,5;63,4;
2018-05-24;17,8;71,3;
2018-05-25;18,7;72,3;
2018-05-26;18;75,6;
2018-05-27;18,2;72,3;
2018-05-28;17,9;67,5;
2018-05-29;17,3;70,2;
2018-05-30;17,1;67,8;
2018-05-31;16,9;68;
2018-06-01;18,9;64;
2018-06-02;17,8;70,8;
2018-06-03;19,7;68,3;
2018-06-04;19,9;72;
2018-06-05;18,7;73,8;
2018-06-06;20;78,7;
2018-06-07;19,2;82,1;
2018-06-08;19;83,6;
2018-06-09;19,5;81,9;
2018-06-10;20;80,2;
2018-06-11;19,7;77,3;
2018-06-12;20,1;74,6;
2018-06-13;20,9;71,7;
2018-06-14;21,3;72,6;
2018-06-15;21,4;72,5;
2018-06-16;20,4;72,4;
2018-06-17;19,5;73,8;
2018-06-18;18,6;75;
2018-06-19;17,6;77,4;
2018-06-20;17,3;76,4;
2018-06-21;17,6;72,8;
2018-06-22;18,5;67,8;
2018-06-23;18,8;67,8;
2018-06-24;20,1;71,3;
2018-06-25;19;68,7;
2018-06-26;20,9;61,6;
2018-06-27;19,2;75,5;
2018-06-28;18,3;69,4;
2018-06-29;17,3;65,9;
2018-06-30;17,2;70,5;
2018-07-01;18,2;69,5;
2018-07-02;19;67,9;
2018-07-03;19,2;65,3;
2018-07-04;19,5;62,1;
2018-07-05;18,7;66;
2018-07-06;18,2;66,7;
2018-07-07;18,1;62,8;
2018-07-08;18;62,8;
2018-07-09;19;61,6;
2018-07-10;18,4;65,4;
2018-07-11;17,3;70,8;
2018-07-12;16,7;67,6;
2018-07-13;17,1;67,5;
2018-07-14;17,7;66,6;
2018-07-15;18,3;63,7;
2018-07-16;18,2;61,7;
2018-07-17;18,2;64,1;
2018-07-18;18,9;65,8;
2018-07-19;18,9;64,8;
2018-07-20;19,1;64,6;
2018-07-21;19;63,7;
2018-07-22;19;62,8;
2018-07-23;18,6;61,4;
2018-07-24;18,3;62,6;
2018-07-25;19,6;57;
2018-07-26;17,5;61,8;
2018-07-27;17,9;63;
2018-07-28;18,5;61,3;
2018-07-29;18,7;61,6;
2018-07-30;19,5;59,8;
2018-07-31;18,6;62,5;
2018-08-01;18,3;72;
2018-08-02;18;84,8;
2018-08-03;19,5;77,4;
2018-08-04;17,9;90,2;
2018-08-05;18,8;80,8;
2018-08-06;19,4;81,6;
2018-08-07;20;78,2;
2018-08-08;21;73,8;
2018-08-09;20;78;
2018-08-10;21,4;69,8;
2018-08-11;17,4;49;
2018-08-12;16,7;51,9;
2018-08-13;17,6;59,3;
2018-08-14;18,2;60,5;
2018-08-15;19;59,2;
2018-08-16;20,3;64,6;
2018-08-17;18;81,7;
2018-08-18;18,2;74,4;
2018-08-19;18,9;69,3;
2018-08-20;19,5;59,8;
2018-08-21;19,2;53,7;
2018-08-22;19,3;54;
2018-08-23;19,8;59,1;
2018-08-24;21,3;60,8;
2018-08-25;19,8;67;
2018-08-26;20,5;70,7;
2018-08-27;20,6;67,1;
2018-08-28;18,7;70,9;
2018-08-29;20,1;65,8;
2018-08-30;20,7;61,2;
