Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2016-11-22
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2016-11-22;null;null;
2016-11-23;null;null;
2016-11-24;null;null;
2016-11-25;24,2;76,7;
2016-11-26;24,4;75,3;
2016-11-27;24,7;74,7;
2016-11-28;25,1;73,5;
2016-11-29;24,6;80,4;
2016-11-30;23,2;84;
2016-12-01;20,3;84,4;
2016-12-02;22,4;78,7;
2016-12-03;23;80,8;
2016-12-04;22,7;84,9;
2016-12-05;22,5;86,8;
2016-12-06;25,3;72;
2016-12-07;24,8;68,7;
2016-12-08;22,6;83;
2016-12-09;23,1;85,6;
2016-12-10;23,8;83,7;
2016-12-11;23,2;88,8;
2016-12-12;22,8;92,3;
2016-12-13;22,6;90;
2016-12-14;22,8;87;
2016-12-15;20,1;93,3;
2016-12-16;18,7;84,5;
2016-12-17;20,1;78,1;
2016-12-18;21,9;76,9;
2016-12-19;22,4;75,2;
2016-12-20;23,8;69,8;
2016-12-21;23,2;70,4;
2016-12-22;24;72,6;
2016-12-23;24,6;67;
2016-12-24;24,3;70,7;
2016-12-25;24,7;71,8;
2016-12-26;24,4;70,7;
2016-12-27;25,4;71,3;
2016-12-28;26;67,3;
2016-12-29;23,9;70,7;
2016-12-30;23;74,3;
2016-12-31;25;68,7;
2017-01-01;25,4;65;
2017-01-02;25,8;65,6;
2017-01-03;25,7;69;
2017-01-04;24,4;72,5;
2017-01-05;25,4;70,5;
2017-01-06;26,5;65,8;
2017-01-07;25,6;70;
2017-01-08;25;74,7;
2017-01-09;24,4;78,9;
2017-01-10;23,2;85,1;
2017-01-11;24,6;80,3;
2017-01-12;23,3;81;
2017-01-13;22,3;85,8;
2017-01-14;22,7;82,2;
2017-01-15;22,4;88;
2017-01-16;22,8;83,1;
2017-01-17;23,1;82,7;
2017-01-18;23,1;81,5;
2017-01-19;23;83,6;
2017-01-20;23,6;80,1;
2017-01-21;23,6;74,5;
2017-01-22;23,8;73,8;
2017-01-23;23,5;78,1;
2017-01-24;22,7;85,3;
2017-01-25;23,1;84,2;
2017-01-26;23,6;84,8;
2017-01-27;25;76,8;
2017-01-28;24,8;68,5;
2017-01-29;23,7;69,8;
2017-01-30;23,7;72,6;
2017-01-31;23,8;73,1;
2017-02-01;21,9;85,8;
2017-02-02;22,7;83,9;
2017-02-03;22,1;90,5;
2017-02-04;22,6;87,3;
2017-02-05;23,8;82,2;
2017-02-06;23,6;83,1;
2017-02-07;24,7;81,8;
2017-02-08;24,6;78,1;
2017-02-09;24,6;75,8;
2017-02-10;24;74;
2017-02-11;23,8;78,4;
2017-02-12;23,7;75,9;
2017-02-13;null;69,2;
2017-02-14;23,6;69;
2017-02-15;22,5;77,1;
2017-02-16;22,7;76,6;
2017-02-17;23,1;74,1;
2017-02-18;24;72,4;
2017-02-19;24,7;71,9;
2017-02-20;24,3;71,4;
2017-02-21;23,8;73,3;
2017-02-22;22,7;73,5;
2017-02-23;23,1;72,2;
2017-02-24;22;78,5;
2017-02-25;22;83,3;
2017-02-26;22;86;
2017-02-27;21,9;87,6;
2017-02-28;23,3;82,7;
2017-03-01;22;89,5;
2017-03-02;22,2;89,8;
2017-03-03;22,9;85,2;
2017-03-04;23,4;85,3;
2017-03-05;23,6;85,2;
2017-03-06;24,7;77,4;
2017-03-07;25,4;72,8;
2017-03-08;23,2;82,3;
2017-03-09;23,8;79,1;
2017-03-10;24,5;77,3;
2017-03-11;24,9;72,8;
2017-03-12;23,2;73;
2017-03-13;23,1;71,6;
2017-03-14;23,8;74,5;
2017-03-15;24,4;70,3;
2017-03-16;22,6;74,1;
2017-03-17;23,4;74,2;
2017-03-18;24,2;75,6;
2017-03-19;20,9;89;
2017-03-20;22,7;85,5;
2017-03-21;22,5;69,9;
2017-03-22;21,7;73,7;
2017-03-23;20,6;73,6;
2017-03-24;21;74,8;
2017-03-25;22,6;73,7;
2017-03-26;23,6;74,6;
2017-03-27;22,1;83,3;
2017-03-28;21,8;82,9;
2017-03-29;21,2;74,9;
2017-03-30;20,1;74,7;
2017-03-31;20,4;73,8;
2017-04-01;20,9;70,1;
2017-04-02;19,3;73,4;
2017-04-03;19,5;73;
2017-04-04;19,8;73;
2017-04-05;21,2;73,2;
2017-04-06;23,4;78,3;
2017-04-07;22,5;90,3;
2017-04-08;23,7;83;
2017-04-09;23,9;79,5;
2017-04-10;24;75,3;
2017-04-11;23,4;77;
2017-04-12;24,5;73,8;
2017-04-13;23,9;72,8;
2017-04-14;23,8;72,5;
2017-04-15;22,5;76,3;
2017-04-16;21,7;77,3;
2017-04-17;22,8;73,2;
2017-04-18;23,6;70,1;
2017-04-19;21,1;80,8;
2017-04-20;22;74,3;
2017-04-21;21,5;76,8;
2017-04-22;21,6;78,3;
2017-04-23;20,2;76,6;
2017-04-24;21,2;78,1;
2017-04-25;21,8;79,2;
2017-04-26;22,1;80;
2017-04-27;22,7;85;
2017-04-28;21,7;88,8;
2017-04-29;20,8;87,1;
2017-04-30;20,4;79,9;
2017-05-01;20,6;75,4;
2017-05-02;20,9;77,9;
2017-05-03;20,1;81,2;
2017-05-04;20,5;77,7;
2017-05-05;19,5;80,6;
2017-05-06;18,4;93,3;
2017-05-07;18,3;89,7;
2017-05-08;18,3;82,2;
2017-05-09;19,4;77,3;
2017-05-10;18,9;73,5;
2017-05-11;19;78;
2017-05-12;18,2;80,4;
2017-05-13;18,4;80,3;
2017-05-14;20;78,8;
2017-05-15;21,2;86,2;
2017-05-16;21,3;85,7;
2017-05-17;21,1;81,5;
2017-05-18;20,5;81,1;
2017-05-19;19,6;87,3;
2017-05-20;19,2;91,3;
2017-05-21;20,9;87,5;
2017-05-22;20,8;91,9;
2017-05-23;20,3;89,1;
2017-05-24;19,4;86,5;
2017-05-25;19,1;84,7;
2017-05-26;18,8;83,6;
2017-05-27;18,8;82,5;
2017-05-28;18;82,5;
2017-05-29;17,7;79,8;
2017-05-30;16,9;78,6;
2017-05-31;17,1;79,9;
2017-06-01;null;82,3;
2017-06-02;19,9;77,3;
2017-06-03;18,6;77,6;
2017-06-04;19,4;83,4;
2017-06-05;19,6;82,5;
2017-06-06;19,5;79,1;
2017-06-07;18,8;77,7;
2017-06-08;18,4;78,6;
2017-06-09;20,1;74,2;
2017-06-10;18,6;66,1;
2017-06-11;15,5;73,7;
2017-06-12;18;86,5;
2017-06-13;19,2;85,7;
2017-06-14;20;84;
2017-06-15;17,5;80,2;
2017-06-16;16,2;82,1;
2017-06-17;16,1;79;
2017-06-18;15,9;79;
2017-06-19;16,6;76,2;
2017-06-20;18,7;71,9;
2017-06-21;16,5;78,4;
2017-06-22;16,5;77;
2017-06-23;16;78,3;
2017-06-24;15,7;78,3;
2017-06-25;15,9;78,2;
2017-06-26;14,8;82,5;
2017-06-27;14,4;81,6;
2017-06-28;15,4;82,2;
2017-06-29;15,5;79,1;
2017-06-30;14,8;74,6;
2017-07-01;14,3;75,8;
2017-07-02;16;76,8;
2017-07-03;14,3;70;
2017-07-04;11,7;68,9;
2017-07-05;15,7;63,8;
2017-07-06;15,7;72,7;
2017-07-07;16,1;76,4;
2017-07-08;14,1;79,6;
2017-07-09;14,8;77,1;
2017-07-10;15,2;76,4;
2017-07-11;16,2;76,8;
2017-07-12;15,9;76,6;
2017-07-13;15,5;76,5;
2017-07-14;14,6;76,1;
2017-07-15;15,7;72,4;
2017-07-16;14,5;75,5;
2017-07-17;14,5;75,1;
2017-07-18;15,2;69,1;
2017-07-19;15,9;74,6;
2017-07-20;17,2;74,6;
2017-07-21;16,6;75,7;
2017-07-22;16,8;72,5;
2017-07-23;15,5;68,7;
2017-07-24;14,3;71,8;
2017-07-25;15,5;76,1;
2017-07-26;14,6;74;
2017-07-27;14,1;71,3;
2017-07-28;14,6;69,9;
2017-07-29;15,1;73;
2017-07-30;15,1;73,1;
2017-07-31;14,3;75,7;
2017-08-01;13,1;70,5;
2017-08-02;14,1;70,2;
2017-08-03;17,3;63,7;
2017-08-04;19,4;56,8;
2017-08-05;14,9;69;
2017-08-06;15,3;72;
2017-08-07;16;73,3;
2017-08-08;17;71,4;
2017-08-09;19,1;65,2;
2017-08-10;20,3;63,5;
2017-08-11;18,8;69,2;
2017-08-12;18,4;71;
2017-08-13;18,6;69,9;
2017-08-14;20,1;66,7;
2017-08-15;21,5;66,4;
2017-08-16;21,1;64,5;
2017-08-17;20,8;70,9;
2017-08-18;21,6;68,2;
2017-08-19;21,3;68,8;
2017-08-20;22,4;59,1;
2017-08-21;null;72,4;
2017-08-22;20,1;60,3;
2017-08-23;18,8;69,3;
2017-08-24;17,8;70,9;
2017-08-25;17,7;65,9;
2017-08-26;15,9;63,9;
2017-08-27;17,4;60,9;
2017-08-28;18,2;61,6;
2017-08-29;18,8;59,8;
2017-08-30;18,7;59,3;
2017-08-31;20,7;55,7;
2017-09-01;20,7;61,2;
2017-09-02;18,8;64;
2017-09-03;16,4;62,2;
2017-09-04;null;64,3;
2017-09-05;16,7;61,5;
2017-09-06;null;60,2;
2017-09-07;null;60;
2017-09-08;18,1;60;
2017-09-09;17,7;60,8;
2017-09-10;18,4;63;
2017-09-11;19,9;62,3;
2017-09-12;19,4;60,4;
2017-09-13;18,7;61,2;
2017-09-14;null;61,4;
2017-09-15;19,7;57,8;
2017-09-16;19,4;59;
2017-09-17;19,3;60,7;
2017-09-18;20,2;60,7;
2017-09-19;20,8;57,2;
2017-09-20;20,3;60,1;
2017-09-21;19,9;58,4;
2017-09-22;18,5;64,2;
2017-09-23;19,2;59,8;
2017-09-24;20,1;55,3;
2017-09-25;19,6;55,2;
2017-09-26;19;60,4;
2017-09-27;21;65,6;
2017-09-28;21,6;70,3;
2017-09-29;23,9;60,5;
2017-09-30;18,9;92,1;
2017-10-01;21,4;74,2;
2017-10-02;19,3;89,7;
2017-10-03;18,4;91;
2017-10-04;20;82,7;
2017-10-05;22,5;72,9;
2017-10-06;23,5;65,5;
2017-10-07;23;63,1;
2017-10-08;23,9;62,2;
2017-10-09;23,8;61,1;
2017-10-10;24,1;62,8;
2017-10-11;24,9;58,5;
2017-10-12;25,1;57,4;
2017-10-13;23,9;58,5;
2017-10-14;23,2;56,8;
2017-10-15;24,3;57,4;
2017-10-16;25,3;61,2;
2017-10-17;24,3;61,7;
2017-10-18;22,7;61;
2017-10-19;22;58,3;
2017-10-20;22,8;58,3;
2017-10-21;22,6;63,6;
2017-10-22;24,4;64,3;
2017-10-23;21,5;80,5;
2017-10-24;23,8;69,6;
2017-10-25;24,8;57,7;
2017-10-26;23,1;67,4;
2017-10-27;22,2;82,5;
2017-10-28;22;82,2;
2017-10-29;21,6;83,4;
2017-10-30;22,4;81,4;
2017-10-31;23,3;77,3;
