Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.68083332
Longitude: -45.94444444
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2017-07-20;null;null;
2017-07-21;null;null;
2017-07-22;18,4;52,2;
2017-07-23;17,5;56,4;
2017-07-24;16,6;55,4;
2017-07-25;17,5;59,3;
2017-07-26;17,7;54,1;
2017-07-27;17;56,2;
2017-07-28;16,3;56,1;
2017-07-29;15,9;65,5;
2017-07-30;16;67;
2017-07-31;15,6;55,9;
2017-08-01;15,4;55,3;
2017-08-02;16,2;51;
2017-08-03;18;51,5;
2017-08-04;15,7;63,6;
2017-08-05;16,1;62,2;
2017-08-06;15,2;64,7;
2017-08-07;16,4;59,2;
2017-08-08;19,2;52,3;
2017-08-09;22,1;42,6;
2017-08-10;23,1;40,2;
2017-08-11;19,7;56,6;
2017-08-12;18,9;62,8;
2017-08-13;20,2;60;
2017-08-14;21,8;52,2;
2017-08-15;21;65,2;
2017-08-16;18,4;77,1;
2017-08-17;16,4;89,7;
2017-08-18;15,8;95,8;
2017-08-19;17,7;85;
2017-08-20;19,9;72,6;
2017-08-21;null;79,1;
2017-08-22;15,8;69,8;
2017-08-23;16,8;71,1;
2017-08-24;16,4;68,9;
2017-08-25;17,4;61,1;
2017-08-26;18,4;48,9;
2017-08-27;20,1;40,4;
2017-08-28;20,7;41;
2017-08-29;21,6;38,1;
2017-08-30;22,9;38,6;
2017-08-31;24;37;
2017-09-01;19,3;65,6;
2017-09-02;18,5;58,3;
2017-09-03;17,2;52,7;
2017-09-04;null;49,4;
2017-09-05;19,5;43,5;
2017-09-06;21,8;32,2;
2017-09-07;null;37;
2017-09-08;null;38,4;
2017-09-09;21;41,1;
2017-09-10;21,4;41,1;
2017-09-11;22,7;44,5;
2017-09-12;22,7;43,5;
2017-09-13;22,4;38;
2017-09-14;22,7;40,6;
2017-09-15;24,5;30,7;
2017-09-16;24,2;30,6;
2017-09-17;22,7;37,9;
2017-09-18;23,3;40,5;
2017-09-19;22,6;41,5;
2017-09-20;22,4;42,9;
2017-09-21;21,4;43,4;
2017-09-22;20,6;43,3;
2017-09-23;22,1;39,5;
2017-09-24;23;39,7;
2017-09-25;21,3;45,6;
