Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2018-03-15;null;null;
2018-03-16;26;68,8;
2018-03-17;24,5;73,7;
2018-03-18;24,9;71,5;
2018-03-19;25,6;68,9;
2018-03-20;26,3;65,7;
2018-03-21;26,6;66;
2018-03-22;25,3;73,3;
2018-03-23;25,2;73;
2018-03-24;23,5;81,3;
2018-03-25;23,5;75,8;
2018-03-26;24,1;null;
2018-03-27;23,7;null;
2018-03-28;24,1;null;
2018-03-29;24,4;null;
2018-03-30;24;null;
2018-03-31;24,6;null;
2018-04-01;25,4;null;
2018-04-02;23,3;null;
2018-04-03;24,7;null;
2018-04-04;24;null;
2018-04-05;24,8;null;
2018-04-06;21,5;null;
2018-04-07;23,2;null;
2018-04-08;23,3;null;
2018-04-09;22,6;null;
2018-04-10;23,1;null;
2018-04-11;23,4;null;
2018-04-12;22,4;null;
2018-04-13;22,9;null;
2018-04-14;23,1;null;
2018-04-15;22,4;null;
2018-04-16;22,2;null;
2018-04-17;21,3;null;
2018-04-18;22;null;
2018-04-19;21,9;null;
2018-04-20;22,2;null;
2018-04-21;23,6;null;
2018-04-22;22,9;null;
2018-04-23;22,4;null;
2018-04-24;22,7;null;
2018-04-25;22,8;null;
2018-04-26;22,8;null;
2018-04-27;23,3;null;
2018-04-28;23,5;null;
2018-04-29;23;null;
2018-04-30;22,7;null;
2018-05-01;22,7;null;
2018-05-02;22,7;null;
2018-05-03;22,9;null;
2018-05-04;23,6;null;
2018-05-05;22,9;null;
2018-05-06;22,9;null;
2018-05-07;23,1;null;
2018-05-08;22,7;null;
2018-05-09;21,9;null;
2018-05-10;21,8;null;
2018-05-11;22;null;
2018-05-12;22,1;null;
2018-05-13;23,5;null;
2018-05-14;22,8;null;
2018-05-15;22,7;null;
2018-05-16;22,6;null;
2018-05-17;23,4;null;
2018-05-18;23,4;null;
2018-05-19;21,8;null;
2018-05-20;18,5;null;
2018-05-21;16,7;null;
2018-05-22;19,4;null;
2018-05-23;20,9;null;
2018-05-24;22,3;null;
2018-05-25;21,1;null;
2018-05-26;20,8;null;
2018-05-27;20,5;null;
2018-05-28;19,8;null;
2018-05-29;20,3;null;
2018-05-30;19,4;null;
2018-05-31;19,4;null;
2018-06-01;20,1;null;
2018-06-02;21;null;
2018-06-03;21,7;null;
2018-06-04;22,1;null;
2018-06-05;21,6;null;
2018-06-06;22,7;null;
2018-06-07;23,6;null;
2018-06-08;23,1;null;
2018-06-09;23,6;null;
2018-06-10;22,8;null;
2018-06-11;22,5;null;
2018-06-12;22,5;null;
2018-06-13;23,1;null;
2018-06-14;23,1;null;
2018-06-15;22,6;null;
2018-06-16;21,3;null;
2018-06-17;20,4;null;
2018-06-18;20,3;null;
2018-06-19;20,3;null;
2018-06-20;20,9;null;
2018-06-21;20,6;null;
2018-06-22;21;null;
2018-06-23;21,3;null;
2018-06-24;21,6;null;
2018-06-25;21,6;null;
2018-06-26;22,8;null;
2018-06-27;22,2;null;
2018-06-28;21;null;
2018-06-29;20,2;null;
2018-06-30;20,1;null;
2018-07-01;21,3;null;
2018-07-02;21,4;null;
2018-07-03;21,3;null;
2018-07-04;21,8;null;
2018-07-05;21;null;
