Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.4962888
Longitude: -46.6200666
Altitude: 785.64
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2010-01-01;21,2;87,4;
2010-01-02;22,2;83,9;
2010-01-03;24,3;78,2;
2010-01-04;24,2;74,3;
2010-01-05;24,7;73,4;
2010-01-06;23,5;73;
2010-01-07;23,3;78,2;
2010-01-08;22,6;85,4;
2010-01-09;24,4;74,4;
2010-01-10;26,3;65,5;
2010-01-11;25,3;67;
2010-01-12;25;62,6;
2010-01-13;25,4;61;
2010-01-14;23,6;72,8;
2010-01-15;21,2;77,5;
2010-01-16;22,1;75,9;
2010-01-17;23,7;72;
2010-01-18;23,6;75,3;
2010-01-19;23,9;71,9;
2010-01-20;24,6;68;
2010-01-21;null;78,5;
2010-01-22;null;79,3;
2010-01-23;null;82,5;
2010-01-24;null;85,2;
2010-01-25;null;84,9;
2010-01-26;null;86;
2010-01-27;null;75,7;
2010-01-28;22,2;83,7;
2010-01-29;21,2;84,1;
2010-01-30;22,1;81,5;
2010-01-31;23,5;76;
2010-02-01;23,6;70;
2010-02-02;24;68,3;
2010-02-03;24,3;71,8;
2010-02-04;24,4;74;
2010-02-05;25,3;65,7;
2010-02-06;25,3;64,5;
2010-02-07;25,7;59,9;
2010-02-08;26,8;53,9;
2010-02-09;25,9;54,8;
2010-02-10;23,6;68,9;
2010-02-11;23,7;71,8;
2010-02-12;24,9;71;
2010-02-13;26,5;62,4;
2010-02-14;27,1;54,1;
2010-02-15;27,6;50,8;
2010-02-16;27,5;53,2;
2010-02-17;24,6;64;
2010-02-18;22,2;82,5;
2010-02-19;22,9;76;
2010-02-20;23,9;69,5;
2010-02-21;26;61,8;
2010-02-22;26,4;62;
2010-02-23;26,9;60,3;
2010-02-24;25,9;66,1;
2010-02-25;20,8;87;
2010-02-26;19,5;74,2;
2010-02-27;20,6;73,7;
2010-02-28;19,8;84,4;
2010-03-01;17,9;89,5;
2010-03-02;18,4;82,6;
2010-03-03;19,4;83,8;
2010-03-04;21,2;84,1;
2010-03-05;21,3;80,1;
2010-03-06;18,9;86,6;
2010-03-07;20,8;71,8;
2010-03-08;22,1;67,7;
2010-03-09;24,2;57;
2010-03-10;25,5;51,1;
2010-03-11;26,3;48,1;
2010-03-12;26,8;48;
2010-03-13;26,6;56,3;
2010-03-14;25,3;61,6;
2010-03-15;22,7;73,8;
2010-03-16;23,1;68,3;
2010-03-17;20,7;74,4;
2010-03-18;21,3;74,1;
2010-03-19;22,7;73,5;
2010-03-20;23,9;65,6;
2010-03-21;22,9;73,3;
2010-03-22;23,6;70,9;
2010-03-23;24,3;67;
2010-03-24;25,1;71,2;
2010-03-25;23,2;78,4;
2010-03-26;22,8;80,8;
2010-03-27;23,4;77,6;
2010-03-28;22,8;79,8;
2010-03-29;23,3;75,3;
2010-03-30;22,3;79,8;
2010-03-31;21,9;76,9;
2010-04-01;21,5;76,3;
2010-04-02;21,9;74,6;
2010-04-03;21;87,5;
2010-04-04;22,2;84,5;
2010-04-05;19,5;89,4;
2010-04-06;15,5;90;
2010-04-07;15,4;82,3;
2010-04-08;16;75,9;
2010-04-09;16,1;81,1;
2010-04-10;16,5;81;
2010-04-11;17,7;76,5;
2010-04-12;18,1;75,1;
2010-04-13;19,2;72,9;
2010-04-14;19,8;71,9;
2010-04-15;21,5;66,8;
2010-04-16;22,6;60,4;
2010-04-17;23,1;55,9;
2010-04-18;21,5;60;
2010-04-19;21,5;63,3;
2010-04-20;22,9;56;
2010-04-21;24,3;55;
2010-04-22;24,7;57,3;
2010-04-23;23,3;65,7;
2010-04-24;20,5;83,8;
2010-04-25;23,2;76,9;
2010-04-26;24,3;64,8;
2010-04-27;22;69,5;
2010-04-28;19,5;80,1;
2010-04-29;18,5;79;
2010-04-30;18,5;72,5;
2010-05-01;18;70,8;
2010-05-02;19;70,4;
2010-05-03;20,7;67;
2010-05-04;22,1;60,4;
2010-05-05;22,4;63,6;
2010-05-06;21,7;70,8;
2010-05-07;22,3;66,2;
2010-05-08;20,5;78,6;
2010-05-09;16,4;87;
2010-05-10;15,2;80,8;
2010-05-11;16,5;73,6;
2010-05-12;15,2;65,2;
2010-05-13;15,1;62,8;
2010-05-14;16,2;81,5;
2010-05-15;18;75,8;
2010-05-16;19,4;64;
2010-05-17;18;75,6;
2010-05-18;18,8;78,9;
2010-05-19;17,9;86,8;
2010-05-20;15,2;70,5;
2010-05-21;15,8;77;
2010-05-22;17,5;77,3;
2010-05-23;17,3;84,3;
2010-05-24;18,3;80,8;
2010-05-25;20,7;75,8;
2010-05-26;19,5;74,8;
2010-05-27;16,7;79,3;
2010-05-28;16,4;82,3;
2010-05-29;18,1;76,8;
2010-05-30;20;65,8;
2010-05-31;17,4;67,6;
2010-06-01;13,9;81,7;
2010-06-02;15,1;77,3;
2010-06-03;16,6;75,5;
2010-06-04;17,6;73,5;
2010-06-05;17,7;77,3;
2010-06-06;14,5;57;
2010-06-07;14,2;59,5;
2010-06-08;13,7;71,9;
2010-06-09;14,8;74,6;
2010-06-10;15,3;81,8;
2010-06-11;14,4;77,7;
2010-06-12;12,9;78,8;
2010-06-13;12,5;74,1;
2010-06-14;14,3;73,5;
2010-06-15;15,8;67,9;
2010-06-16;17,5;57,3;
2010-06-17;20,8;44,2;
2010-06-18;19,6;56,8;
2010-06-19;20,6;50,5;
2010-06-20;22,9;34,6;
2010-06-21;18,9;70,9;
2010-06-22;15,4;88,7;
2010-06-23;15,5;82,6;
2010-06-24;17,8;79,3;
2010-06-25;19,6;70,5;
2010-06-26;17,9;72,3;
2010-06-27;17,1;67;
2010-06-28;18,3;55,1;
2010-06-29;17,2;74,5;
2010-06-30;16,9;72,9;
2010-07-01;16,6;69,5;
2010-07-02;16,4;72,5;
2010-07-03;16,4;75,6;
2010-07-04;16,2;77,2;
2010-07-05;17,6;69;
2010-07-06;18,2;67,2;
2010-07-07;18,7;61,5;
2010-07-08;18,9;49,2;
2010-07-09;18,4;70,8;
2010-07-10;17,5;76;
2010-07-11;19,2;70,5;
2010-07-12;21,1;60,2;
2010-07-13;18,6;74,6;
2010-07-14;13,1;92,6;
2010-07-15;13,5;93,2;
2010-07-16;14;92,6;
2010-07-17;15,7;87,2;
2010-07-18;17,7;85,3;
2010-07-19;19,1;73,9;
2010-07-20;19,8;70,6;
2010-07-21;20,7;65,2;
2010-07-22;22,1;50;
2010-07-23;20,2;65,5;
2010-07-24;18,8;78,4;
2010-07-25;19,1;65,1;
2010-07-26;19,1;55,3;
2010-07-27;16,4;82,1;
2010-07-28;17,9;74,3;
2010-07-29;20,3;64,5;
2010-07-30;21,4;52,2;
2010-07-31;20,7;47,7;
